"","GC","PGC","OSNs","M/TC"
"Oprk1",0.0126432218989076,0.152901851566896,0,0.00403636925892141
"Cspp1",0.320272503390164,0.309976746096289,0.0383801647348328,0.230922511694033
"Cpa6",0.421658425540196,0.0134353721681351,0.0164904289244858,0.0621631686770676
"Ly96",0.00368837551588575,0.00873883569255995,0.00225810984654022,0.0154217290289824
"Mrpl30",0.322200490704725,0.423055503921303,0.180217035272567,0.284465416274921
"Wdr75",0.0619944339842363,0.044214804451956,0.014911372524899,0.0425877139595693
"Mfsd6",0.0876176256530778,0.108888061353625,0.0189269170872147,0.344424821158863
"Hecw2",0.0499982767724363,0.0489721359212815,0.0247579847824048,0.0683770753308794
"Pgap1",0.274589085237946,0.215512368696226,0.0320210676858753,0.262004729480198
"Trak2",0.106260755984404,0.0994290058986673,0.596559499949072,0.0876525101043687
"Wdr12",0.0847988619046397,0.115993349410975,0.011616612698887,0.0678199578932201
"Raph1",0.256013184963798,0.354951479443279,0.037894162121106,0.304187090141003
"Pard3b",0.0121237062913195,0.00622671118702874,0.0100249301598057,0.00715603679649268
"Klf7",0.102238698709928,0.0887054281258461,0.0474147523905366,0.147782434717134
"Mettl21a",0.0330056516231711,0.0281570808233671,0.0123791028538212,0.0564777297301181
"March4",0.0279715058174804,0.0477569239325606,0.00829787216462631,0.0244263630450646
"Ndufa10",0.367252105409456,0.601316834120856,0.182707229745704,0.379718659485288
"Atg4b",0.0941251836399042,0.127877058405947,0.0230066848618812,0.108618864904083
"Gin1",0.0996103503283636,0.14477709670333,0.0187889430206755,0.0542225813812675
"2310035C23Rik",0.235382935921706,0.236943580611457,0.0290832313746705,0.167112943422997
"Tsn",0.40080585178046,0.698760394993856,0.0857184965639935,0.334220865646292
"Klhdc8a",0.0142976940762511,0.00440874023643034,0.0046356074057005,0.0853381206295628
"Mdm4",0.156513571775883,0.187427642497102,0.0229493753569448,0.130220091990503
"Tnni1",0.00543373330974632,0.00483131533803554,0,0.000784265089000132
"Gm19705",0.00745962056321309,0.00602465732787933,0.00514431719643406,0.00481889953571532
"Swt1",0.11646946650595,0.136529720309138,0.00728372089517477,0.0647420881924792
"Rnf2",0.105686470096169,0.163391702774558,0.0264272410035783,0.0541719587315649
"Uhmk1",0.0815097319497371,0.0991880110920847,0.0700476056712976,0.210500889642642
"Dusp12",0.0363820554075664,0.0516486239827363,0.0114295743912253,0.0242875444616173
"Usf1",0.116272138174299,0.145383758632457,0.0523061551413825,0.096180293641211
"Tstd1",0.0267638627242505,0.0289774221768513,0.626064120578221,0.0463743388160159
"Kcnj10",0.0683649890472469,0.0712025743891967,0.160874627377371,0.103323215048387
"Opn3",0.0578901726057509,0.28663637776346,0.012205904420239,0.0342792125973327
"Hnrnpu",0.586472825081024,0.619800347118809,0.17898293346772,0.398766242222288
"Smyd3",0.0543434162266052,0.111883151133306,0.0148058619508277,0.0599938926968059
"Lpgat1",0.203958788916057,0.157145598150932,0.0563642381474501,0.513356757305368
"Acbd7",0.0734330017838242,0.0742318012180894,1.41632174118887,0.0775801772730152
"Hspa14",0.105159529241056,0.140983987979877,0.0379564504808728,0.0757409079004794
"Cacnb2",0.0830069822378679,0.613590007215828,0.0109015414480911,0.0691905783153482
"Gad2",0.570240721189261,0.808405558112288,0.13916278537143,0.171672354877195
"Nsmf",0.211840435539,0.220879321290118,0.138848411368034,0.18758704818445
"Rexo4",0.0813072311270882,0.0964719587208995,0.0246894286510002,0.0942220136364222
"Olfm1",0.340808702987968,0.345913878230876,0.29160489252682,2.65761019593936
"Dolk",0.0481681121457756,0.0457166002018043,0.0100056602658158,0.0748624786851333
"Fam73b",0.0966336098877286,0.0893208994286316,0.0250898889813804,0.221142418255889
"Scai",0.0627237595126094,0.173190046540145,0.0146903829523272,0.0778593967096057
