"","GC","PGC","OSNs","M/TC"
"Oprk1",0.169490763239379,0.533898384843468,0,0.0925025364183908
"Cspp1",0.815060087567139,0.737317706445907,0.335802513159256,0.698434008594109
"Cpa6",0.92172305378823,0.159611999280761,0.220867021055485,0.363015165099311
"Ly96",0.0916738846935134,0.128727466088012,0.0819139775802101,0.180810950941867
"Mrpl30",0.817236086154945,0.838665275540402,0.710049585224095,0.774641137871616
"Wdr75",0.372440736268943,0.289500685119888,0.210078292626026,0.300469476635884
"Mfsd6",0.441026159062731,0.453400123040609,0.236531569281322,0.851707250946034
"Hecw2",0.335092438036162,0.304663360258021,0.270278012175716,0.380726807142144
"Pgap1",0.76055232036004,0.627640693308067,0.307028438246527,0.743651359276612
"Trak2",0.484375166591464,0.433747198656314,1.20091356378569,0.431062630723549
"Wdr12",0.434061553369952,0.467499747190659,0.185518207104122,0.379172606675302
"Raph1",0.736581896125893,0.780182308542551,0.333694866696602,0.800833919427661
"Pard3b",0.16598553930745,0.108661341947134,0.172383604711242,0.123167032742518
"Klf7",0.475366226755377,0.409786005428279,0.372715596616642,0.559347493300735
"Mettl21a",0.272978546180024,0.231052183928686,0.191487052120582,0.346016502242986
"March4",0.251497301791973,0.300863304726065,0.156875974248667,0.227555637953349
"Ndufa10",0.866443511289879,0.963525749473467,0.714605755736658,0.893997247535395
"Atg4b",0.456655629066615,0.49004308522697,0.260614743899309,0.479799850608874
"Gin1",0.469379447496575,0.520145932626003,0.235672945261177,0.339037932445114
"2310035C23Rik",0.708567074071668,0.655760466573865,0.292739315219335,0.594651343300668
"Tsn",0.901153073141229,1.03227504904172,0.49818655669569,0.839105033901154
"Klhdc8a",0.180192816040523,0.091433127786152,0.117321165601386,0.425333640642198
"Mdm4",0.584018799883406,0.587977804480222,0.260292279099011,0.525186892884448
"Tnni1",0.111239242620152,0.0957147548848226,0,0.0407745932933518
"Gm19705",0.130295359471448,0.106883818011713,0.123581133392431,0.101072296229282
"Swt1",0.506440128525836,0.505721885923477,0.147000532869929,0.37046872254518
"Rnf2",0.48310029357926,0.551036600217597,0.279168056856675,0.338879631182034
"Uhmk1",0.425775106231329,0.433223655838564,0.451437424952665,0.667014797122515
