"","GC","PGC","OSNs","M.TC"
"Cpa6",0.436396649430511,0.0139462834416562,0.0183820533562063,0.0641231302479736
"Kcnb2",0.561483439811786,0.071861222802419,0.0758631960526318,0.119798752727447
"Cox5b",1.6847602699646,2.15338326587867,2.69545945716288,1.60192903203574
"Resp18",0.138915237512396,0.710092649978704,0.0404978063499792,0.554865093550581
"Serpine2",0.688196473279106,1.42565822339929,0.337414318920453,0.413817487992772
"Dner",0.390321740765526,0.450311195722492,0.195627459663739,1.61246958125103
"Itm2c",1.90095324588757,1.40918145066177,0.378180451595348,1.42629789670826
"Tmem163",0.0100957858909306,0.00626532159813121,0.0137002795730532,0.876025096513188
"R3hdm1",1.26392832102179,0.627549007074792,0.142627453641599,0.621254090972016
"B3galt2",0.102914545700696,0.506383581204748,0.0291202326304742,0.262534778947989
"Dnm3",0.328805139215993,0.845356857332003,0.0955920123339784,0.343903725168159
"Atp1b1",3.41873800652005,2.75280428563395,0.945439324905024,3.45148842873164
"Pbx1",1.28847594919203,0.69378822546473,0.46314263692053,0.57219838501639
"Pfdn2",0.898036256161795,1.21250911548106,2.37584643526499,0.891307466058629
"Tstd1",0.0279283326083807,0.0302172715958465,0.699503905870077,0.0484496458476542
"Rgs7",0.121576757867172,0.56223262704107,0.0217716303421155,0.127251496662964
"Opn3",0.0605008070628537,0.298922837013448,0.013558292671484,0.0357227494861093
"Acbd7",0.076700793475169,0.0770581055593908,1.56967413400842,0.0815219657299247
"Celf2",1.62421714620964,1.14821277141141,0.449483124959099,0.935829557216822
"Cacnb2",0.0865834786647548,0.636774712793612,0.011843920250797,0.0713311968652691
"Gpsm1",0.753537695989381,0.32072352709501,0.213895046061133,0.238927077317541
"Olfm1",0.354371669394718,0.359194394065876,0.327618910202896,2.71779503090167
"Gad1",1.88757840281137,1.83861246878565,0.849792402979763,0.741522008707533
"Lrrc55",0.0572907349908964,0.0196489113512328,0.0511826240655398,0.688152523500788
"C1qtnf4",2.05389364122473,1.01315743483222,0.421384527696965,1.49365586620064
"Ano3",0.798846247797907,0.0684733785104095,0.0712520245397799,0.133060195155489
"Grem1",0.0336069487810298,0.786618665062048,0.0168448886820938,0.0260301649115746
"Meis2",2.25992490505177,1.98149066631631,0.562351434437844,0.653305414304158
"Slc20a1",0.0702230539835284,0.14460657175857,0.0503900278498439,0.964835569381148
"Chgb",0.698100708231045,0.796190041531238,0.085290941217936,2.37102814019981
"Snhg11",2.44574155955264,2.59427249651192,0.22091363824039,1.35629148830904
"Tshz2",0.0964070259517287,0.245762837304275,0.969041572450264,0.656646833128478
"Cbln4",0.00735286891587913,0.0128335351610497,0.00291764471111559,0.49741575484128
"Gria3",0.728173836409681,0.0708837054747842,0.0967914686039779,0.125375396624745
"L1cam",0.024721375332471,0.0552346586707864,0.00746334942737063,0.430894834161305
"Il1rapl1",1.06996001318746,0.492867931132892,0.0563862196548316,0.125842631235318
"Tmsb4x",2.76969634544323,2.87475928507977,5.02906423140656,2.80415987138079
"Crh",0.012475933602261,0.0315414572583625,0.0122640375899332,0.38352323291298
"Gm11549",0.0548949853452895,0.331387626030972,0.00560614069684172,0.00488672811033255
"Lhfp",0.0620464288227139,0.0653174581960337,0.0805154837851565,0.884055834652065
"Stoml3",0.0489654539304588,0.0501945811489495,0.976271357564535,0.0466958325030502
"Dclk1",1.3019976844381,0.709813940964153,0.365696217984764,0.87654473019068
"Fstl5",0.167987078050289,0.366387978440119,0.0674674736530802,1.28693072632515
"Gria2",2.63379368140922,2.00052851089891,0.395637469075808,1.48252123707347
"Gucy1a3",0.221089726493787,0.773253745852594,0.0553324618922329,0.0862796587297327
"Npr1",0.00473845057641483,0.00759916746874782,0.00867739948945321,0.428405090562502
"S100a5",1.30451009958522,1.22358186041847,5.44327580410645,1.57781542924222
"Riiad1",0.0443936417171287,0.0704368583347501,0.687157904274477,0.0442718977491435
"Atp1a1",1.27935224600258,0.347993969955718,0.241046575722459,0.917272526305243
"Syt6",0.493032362499679,0.106392570686127,0.0523245466427337,0.0621570873362997
"Kcna2",0.0577056778707699,0.101587486854881,0.0493751040739494,1.0271653917983
"Pde5a",0.0752107606151198,0.327072425848537,0.0345238690819467,0.0151847081876792
"Penk",0.662715573171863,0.117350730094113,0.0927367860793624,0.0853986289446922
"Cnr1",0.0376840805009777,0.396704690481171,0.0170224502412394,0.039162533310617
"1110017D15Rik",0.0578055243375528,0.0594779961690529,0.956385917331876,0.0706033290320152
"Enho",0.226236885921527,0.826338999512797,0.213244867815991,0.356138017973652
"Whrn",0.0539518680987145,0.315484795674771,0.0292421413461742,0.0342555393840359
"Atp6v1g1",0.774121667946885,1.46196808444855,0.726853393822721,0.553463118063525
"Ptprd",0.138978893967104,0.317658301083814,0.0411987385597851,1.4652144983801
"Nfib",0.393639530467939,1.04571707744808,0.0981899931450535,0.132310033865974
"Marcksl1",0.678045543640643,1.36505868424552,0.194835177790394,0.330769464186972
"Sdc3",0.0453259814276901,0.0450301329735685,0.0694980163898101,0.741721893869809
"Nppa",0.137168896612041,1.25957952575646,0.0564198496993827,0.0773312651428925
"Fam213b",0.212044346837697,0.293732731970624,1.63297334783442,0.258514448915782
"Sema3c",0.597232210367732,0.0705676393745035,0.0690868592679817,0.0839261700769409
"Reln",0.0524180016548886,0.303372594598387,0.0842355295983076,1.94132767981872
"Tomm7",0.999914650981508,1.30435327059507,2.12183791891517,0.900946540117046
"Jakmip1",0.174609089681326,0.161254411562979,0.918134685166903,0.145442061756863
"Pcdh7",0.577775075327638,1.18705128225607,0.111071312437044,0.66800150187688
"Shisa3",0.0106382262905831,0.00940690360236542,0.015218654148984,0.525024275571409
"Epha5",1.69694174004336,0.1985453805947,0.177793572836091,1.27479124925303
"Spp1",0.0302169651498807,0.0312594423657786,0.023423931311059,1.33703106108993
"Atp5k",1.76163236451739,2.10040089732221,3.04533078000542,1.57785675089179
"Ttc28",0.118655972240084,0.426042268047389,0.0462653805716379,0.113553495619927
"Cox6a1",1.7975407319102,2.18641277977954,2.73427419458658,1.79826145224968
"Auts2",1.09779633379547,0.940796437765336,0.111713835939043,0.31963954788687
"Nptx2",0.0911113927879737,0.0145382255310237,0.0233742491896205,0.655067207158883
"Atp5j2",1.64294797220683,2.19182850713761,2.67830256561935,1.62351978029496
"Nxph1",0.337470478866458,1.34084721005385,0.0395044444104615,0.0849879781705573
"Thsd7a",0.0569035943035027,0.0422301401794441,0.0378340800127027,1.17671754359565
"Cttnbp2",0.794106798382332,0.399904827175766,0.0741560096408738,0.305221673806964
"Tmem176b",0.163336435164616,0.53063232969437,0.064493807518908,0.129776042553013
"Pde1c",0.110446115887668,0.674923166342845,0.0943029520913974,0.0324955258707328
"Nap1l5",0.839024616844669,1.96679465048346,0.241447555407559,0.509252400680427
"Ndnf",0.090910370181019,0.0953157375125207,0.0457578901128286,1.14072184972293
"Lrrtm1",0.0104942915392056,0.00632415645640553,0.00494925128348068,0.346671363177398
"Mgll",0.225532497551284,0.690165350908375,0.168514268956793,0.169912580516407
"Trh",0.156209474572409,0.799412757812513,0.0360385437725668,0.0629311292756221
"Magi1",0.311026421440245,0.784924817554239,0.0685395234888249,0.201675276203759
"Tspan9",0.0342882807837553,0.0666326733062,0.0291786068013189,0.577715713786714
"Cdkn1b",0.236277136930848,0.757783006656186,0.0528033928528165,0.126007505115714
"Apold1",0.156527912679212,0.899372467985552,0.0162939830175192,0.0349635473682057
"Grin2b",1.98120692013746,0.876066895695504,0.150344217958864,0.324297067654924
"Ptpro",0.765564541378906,0.377882956016722,0.119811143790487,0.166653036985142
"Ndufa3",1.51545095722672,1.92928281893744,2.50869101595651,1.52506891270097
"Atp1a3",1.99464579445326,1.52418975824964,0.294526739326342,2.10433309455248
"Aplp1",1.44155725287617,0.8596892854147,0.277134119571769,1.23418450675812
"Cox6b1",1.82246876836202,2.44884477840348,3.01260694174791,1.78096571583334
"Chst8",0.00382916347969033,0.00777604899163803,0.00813062470728461,0.321986421232472
"Atf5",0.121672565335934,0.167227936139113,1.25061131466077,0.131131649568452
"Slc17a7",0.0833004113651487,0.0839198774006479,0.199145460312272,2.40806325716379
"Pth2",0.0449213350663645,0.0207665560923041,0.907775456916378,0.0432244181869898
"Dkkl1",0.00623150703328011,0.0035430964804733,0.00762523379334965,0.345517982413634
"Slc17a6",0.00539389248367502,0.000903859015983033,0.00684765496057057,0.233428752912428
"Ube3a",1.68321930497683,1.77135710365461,0.146918089730647,0.811812400679671
"Sv2b",0.00989749077845572,0.0156833640347926,0.0124592405072284,0.889268128458888
"Nmb",0.0522297877297081,0.0520260872222639,0.0777222686045197,1.59810059784269
"Omp",0.0741639728122199,0.0798106201251874,1.47459953983052,0.105865374803463
"Spon1",0.229972845345715,0.837774134834279,0.0266297439715874,0.185578632278928
"Rgs10",0.248300215711739,0.812294519510286,0.10703367689099,0.151881838266633
"Grm1",0.103720662100385,0.208792348269113,0.0515819499519471,1.10445308557069
"Cited2",0.454698755788807,0.958429758070581,0.0915285110067714,0.172881575443848
"Ahi1",1.44857682053168,1.29197318138028,0.14662515605927,0.54955134677887
"Igf1",0.0399166397500618,0.0476187871495058,0.0559132824986272,0.609660612124942
"Atp2b1",2.18037148214132,2.19981037544104,0.383336396925252,0.858567506190497
"Kitl",0.023714498369925,0.0147011615513876,0.0321573010474462,0.483757751016254
"Cd63",0.556381609477144,1.2496017428782,0.298008096869363,0.465424638771248
"Mcf2l",0.315998170265653,0.314692809084115,1.30850629753985,0.253345154790145
"Gpm6a",1.83787830804434,1.62822954063474,0.497583902849415,1.20331494274399
"Cpe",1.61344254003759,1.60426146994622,1.15366636768117,3.0828333092268
"Plvap",0.0950055027473952,0.348501611767781,0.0230034744890184,0.0341163687983125
"Prdx2",1.08234448010175,1.90750958602781,0.814510829638171,0.883649230691136
"Cbln1",0.0125587022117065,0.117662312701811,0.0247376368349536,0.521973680565525
"Mt1",2.0240133560618,2.18288665329341,3.43846759750683,1.89064537976436
"Nrn1l",0.0268460289629009,0.0359951996696128,0.539176024344009,0.0305830401066236
"Cox4i1",2.65033040602758,3.07923629278291,3.55024070678609,2.61091901205255
"Synpr",2.25767790473944,2.24356986413809,0.443292187525337,0.471633646982594
"Cdhr1",0.0609803135358665,0.0615298495492636,0.0804861762897687,2.37353538120325
"3632451O06Rik",0.0301919666879184,0.029740385322238,0.009939864334285,0.62805079694581
"Cpne6",0.759144137080801,0.214468642050888,0.172656107744555,0.249840351558027
"Itm2b",3.16533055468386,2.00594230644024,1.18597941437002,2.5994656785681
"Tpt1",1.44173488758638,1.70022847398823,4.36007478603604,1.34434047065681
"1700012B09Rik",0.0463986703747295,0.0359900945606475,1.0829847803757,0.0478085906100287
"Icam5",0.692294625560126,0.163543320416283,0.0490563169667178,0.0798722311468747
"Atp5l",1.79237835231764,2.28271304853506,2.6758588668683,1.55387264586908
"Scn2b",0.0760674527667979,0.169563420195363,0.0526331474274096,0.843311604349112
"AI593442",0.0846745414005943,0.880684717031434,0.0325087107790937,0.212887828830485
"Lingo1",0.0410364786839926,0.0730115456363947,0.0300544859453073,0.533294442481201
"Nptn",1.60789161122436,0.891400391573666,0.24105835644485,1.46677955577274
"Zic1",0.499057051086556,1.01082936332872,0.120166981298129,0.13038297549313
"Tmem108",0.232370139682208,0.771775518396119,0.00465167322167574,0.40562971174947
"Cacna2d2",0.065385280978558,0.42782073224844,0.0185032941470516,0.0608300878108809
"Arpp21",0.909239555916984,0.151575071910248,0.148479284700034,0.532995735969366
"Eomes",0.0152463851401584,0.00980741769027648,0.0310441095676353,0.415036072251308
