"","GC","PGC","OSNs","M/TC"
"Cpa6",0.387447600897932,0.0122288427045058,0.0138227061624563,0.0577973757952766
"Kcnb2",0.497993057520513,0.0637602933207613,0.0580149705698941,0.107065397386428
"Rpl37a",2.82707813800751,2.76685961297959,4.19542766862933,2.39682537099108
"Resp18",0.123886917197469,0.636825655437167,0.0307253852720405,0.506924475817845
"Dner",0.344659617703848,0.40060459430843,0.146277423422128,1.47225852335812
"Itm2c",1.70042664809326,1.26599918773805,0.287952336424027,1.29231227382638
"Ptma",1.5730858717205,2.42435848348507,1.69911761718732,1.0877611694925
"Tmem163",0.00891604950010745,0.00547981343619424,0.0102103973160591,0.804354778804531
"R3hdm1",1.13361424394581,0.55908564967403,0.11009143017806,0.566302137288385
"B3galt2",0.0913795424400958,0.451968541169446,0.0230430521162204,0.238435158560227
"Dnm3",0.292352925236927,0.759821607063668,0.0721338305068612,0.309710832047802
"Atp1b1",3.11891890556652,2.5159881589757,0.737352286238442,3.19675848494427
"Pbx1",1.15409266436013,0.623101982367752,0.355472316190243,0.512474055144721
"Tstd1",0.0242829486147266,0.0267926069552612,0.519467135154169,0.0422719538602518
"Rgs7",0.107426135282907,0.501208268883143,0.0171396776625446,0.114483384041402
"Opn3",0.0533476987206247,0.265606061306575,0.0103723342747004,0.0320705634921282
"Acbd7",0.0670286510100534,0.0681641159970708,1.19502100805632,0.0698103755257369
"Celf2",1.45866645833174,1.03129264059284,0.342535004316736,0.850135715868743
"Cacnb2",0.0766680046512703,0.569226447171079,0.00916769691945481,0.0646015292021479
"Gpsm1",0.675291910952696,0.285542017122602,0.163799855946723,0.212295445837109
"Olfm1",0.314083980133479,0.320687073256834,0.241811348402735,2.50467750555564
"Gad1",1.69826188017211,1.66641255108669,0.650386999813743,0.661503526811931
"Lrrc55",0.0502232389317975,0.0173425861849119,0.0384566971515627,0.626145169841218
"C1qtnf4",1.84410250325597,0.90645577360494,0.322415671617968,1.35397476300012
"Ano3",0.710609203696231,0.0606660735994265,0.0537290050020347,0.119062086112432
"Grem1",0.0296466619570267,0.705406529487959,0.012757185657216,0.023476360891363
"Meis2",2.04351578476361,1.79982921741598,0.440015998696044,0.582504354338802
"Slc20a1",0.0616640089428812,0.128225065167241,0.0371370307335059,0.882285751620887
"Chgb",0.617681150631069,0.710451862194818,0.0654549593004895,2.18446900774022
"Snhg11",2.22317533000242,2.37878110513204,0.172119332100552,1.26266834493061
"Cbln4",0.00645734311774957,0.0113068784602575,0.00213408117786127,0.453322070398552
"Rps21",1.76598144999464,1.95943781072358,2.76587687287179,1.51548571954807
"Gm27032",0.603094449413022,0.255277768771842,0.0489299318695172,0.161221160613376
"Rpl39",1.98594200835573,2.17516084399626,3.81006724300218,1.82350723734287
"Gria3",0.645357916361756,0.0630381603379569,0.0737912128148166,0.110497050607436
"L1cam",0.0217876491940095,0.0488955745985024,0.00579265968753332,0.394557251316839
"Il1rapl1",0.953275321375579,0.439255272806627,0.0438553045697497,0.11408549312022
"Tmsb4x",2.51463216330476,2.63542862504718,4.17827285084958,2.55335731991776
"Crh",0.0110271682261459,0.0282102227469643,0.00948804868551931,0.354342066936864
"Gm11549",0.0486567396057078,0.295591347494369,0.00448821407848021,0.00429211371817465
"Lhfp",0.054493247463238,0.0581291004752176,0.0606580545043613,0.800989065008003
"Stoml3",0.042736430752579,0.0441651268662677,0.748526261016064,0.0412931040369436
"Dclk1",1.16594073956831,0.635212919015055,0.274791803076257,0.790224501748384
"Fstl5",0.148993355101749,0.325272368975231,0.0522759719754257,1.17962926551463
"Gria2",2.38477142122956,1.80967262090945,0.301898027355166,1.35711476961764
"Gucy1a3",0.19616177478399,0.700316233044555,0.0425074523823546,0.0765823313344745
"Npr1",0.00417829608486855,0.00679173078625652,0.00664299509522127,0.391613336185848
"S100a5",1.16040951087116,1.09618703851746,4.62504745458964,1.41598870894623
"Riiad1",0.0390828157265187,0.0621431268896365,0.50956808304382,0.0381934450934744
"Atp1a1",1.1380828538705,0.309923471630818,0.183366366812384,0.830201855423589
"Syt6",0.437769146390904,0.0943722260078874,0.0398010142707115,0.0542704399337787
"Kcna2",0.0506770029500076,0.0893621349984756,0.0372333694168475,0.934399707261597
"Plppr4",1.08268062549541,0.473910947533279,0.171053341739068,0.622635597553623
"Penk",0.589606725338478,0.10398391284633,0.0697128891218321,0.0763377103877991
"Cnr1",0.0332715249268558,0.351855382759456,0.0137349155829826,0.0352515121514143
"1110017D15Rik",0.0507190654225596,0.0522998833739136,0.71167517320335,0.0617985592949472
"Enho",0.200127920046477,0.740478289896602,0.16183119232849,0.318123523108137
"Whrn",0.0474249091930286,0.279657398967419,0.0207826186909179,0.0306866047664107
"Atp6v1g1",0.692108943318878,1.31955119086518,0.545842950946595,0.496195767198558
"Ptprd",0.12295527264206,0.281091736101421,0.0308966236125583,1.34818372025195
"Nfib",0.350994068878336,0.938734800568457,0.0745299816171073,0.118041289307605
"Marcksl1",0.608045434211308,1.2325977344828,0.149629920473208,0.296667329060861
"Sdc3",0.0396643515495513,0.0397901363614921,0.0532794388930046,0.676963771906713
"Rsrp1",1.72895027182836,1.59481583747935,0.187175092928458,0.766359501203913
"Nppa",0.121647536423158,1.13917177660516,0.0428625098813991,0.0689526392607887
"Fam213b",0.186789554110664,0.260611697085975,1.24238224633087,0.227059494039986
"Sema3c",0.531592071490541,0.0626922915217021,0.0527169201841857,0.0738051468641185
"Reln",0.046347635787836,0.273798056475809,0.0642660437895052,1.78511289051505
"Pcdh7",0.511002259752266,1.06416900614174,0.0854531218430038,0.606053483400791
"Shisa3",0.00925185670569622,0.00833464065194171,0.01136682757583,0.479370681491854
"Epha5",1.5278786544371,0.176904884681736,0.137605809282077,1.16675906247512
"Spp1",0.0265459077105227,0.0275911357986683,0.0175311072469356,1.23317020879719
"Auts2",0.980483596979233,0.840505036091427,0.0862182340531177,0.28664626917908
"Nptx2",0.0798632237497487,0.0127429385134854,0.0189466915676968,0.600272227603366
"Rpl21",2.0977600425225,2.22471548561716,2.98388915361968,1.67644449302795
"Nxph1",0.300250935722349,1.20675981314931,0.0298832741485569,0.0753193178211269
"Thsd7a",0.0502954579058409,0.0376524044666164,0.0280100165562545,1.07934920249327
"Cttnbp2",0.706813042671875,0.356196479947709,0.0559179284710077,0.275888588573022
"Tmem176b",0.14438085940781,0.472579899543458,0.0488606745733348,0.116021585877752
"Pde1c",0.0979141849369069,0.603611953308317,0.0702552218047044,0.0296822973386815
"Nap1l5",0.753897626581225,1.79117627992337,0.181541586898953,0.457719250432243
"Ndnf",0.0810484331230806,0.0842623589255961,0.035200794260077,1.05266467463344
"Lrrtm1",0.00923591923903716,0.00553051758917456,0.00392476166857795,0.318721361291742
"Mgll",0.200401014908843,0.617375225845504,0.123310791910631,0.149465957306886
"Trh",0.139813484471981,0.741408167877558,0.0280690342617702,0.0563128872397383
"Magi1",0.276294321652424,0.701374257193759,0.0504631161080261,0.182000565552758
"Rpl32",1.91532181719639,2.02861596407629,2.95768875390129,1.74093312263228
"Tspan9",0.0301837688431255,0.05893248686563,0.0214481313263294,0.525672053997472
"Cdkn1b",0.210866405605775,0.680676465998295,0.0410144399334541,0.112452181647422
"Apold1",0.139703939771029,0.812016255258263,0.0116133668196443,0.0310841615126182
"Grin2b",1.78081526408664,0.783284992974123,0.116601041767568,0.291803457810554
"Ptpro",0.67877381058749,0.337728906485105,0.0917042382056709,0.149815231227217
"Rpl28",1.40598643452102,1.6271057874934,2.44605285613888,1.16081999292393
"Atp1a3",1.7874678352556,1.37080129093021,0.221719301413574,1.92914854686565
"Aplp1",1.28519778324626,0.766074345967485,0.210740267034887,1.12433035127337
"Chst8",0.00331355025676586,0.00682021562057376,0.00649563113993466,0.292643659939312
"Atf5",0.106784685369553,0.147096677598818,0.957609752408906,0.114521914873944
"Rpl13a",2.26465144318172,2.51536002448404,3.24389715442677,2.00810831652432
"Slc17a7",0.0730905586615914,0.0739269301677674,0.149612046399779,2.21103078210287
"Pth2",0.039460064040217,0.0182335837199801,0.677887958531553,0.0388580637499345
"Dkkl1",0.00543673634707516,0.00313278641268412,0.00614259699678553,0.313554016860509
"Slc17a6",0.0046921527761144,0.000803919694805002,0.00594590461367487,0.210334843670115
"Ube3a",1.51017177624372,1.59772113221373,0.112879424159561,0.741843920058598
"Sv2b",0.00874031838552365,0.0138306965518949,0.00897835249646355,0.810701114510809
"Nmb",0.0459234180724993,0.0453841344625378,0.0579863760466695,1.46106210221324
"Omp",0.0649284704410611,0.0704129459221768,1.12906808290273,0.0917258921895545
"Spon1",0.204497727463681,0.75035267855919,0.0194734971088586,0.167097137955156
"Aldoa",1.71287012576861,2.46536533930192,0.877357951728496,1.541666485804
"Rgs10",0.221080230250394,0.729469179585802,0.0825519172421782,0.136468725072287
"Rplp2",1.61786060733564,1.96232699028513,3.05414743327459,1.43610170539609
"Grm1",0.0916501768564887,0.185313886455939,0.039938476569201,1.00672714861404
"Cited2",0.405948118000125,0.861411853258721,0.0694467736835626,0.153368699704266
"Ahi1",1.2997168298466,1.16071764950919,0.116701113398894,0.499585048082949
"Rps12",1.02805400996852,1.10163712457402,2.17039157926928,0.835232025057195
"Igf1",0.0351120472111329,0.0423616391136346,0.0418974650336789,0.55233108883292
"Atp2b1",1.96158666905191,2.01245683586145,0.297167520822765,0.773408557072846
"Kitl",0.0209316881039597,0.0129104082195578,0.0249388195681333,0.440355889954639
"Rpl41",2.98788594521749,3.02736980220852,4.63078273349482,2.81562935114846
"Cd63",0.492369735856391,1.11891839435676,0.228140684263001,0.417805943757064
"Slc25a4",1.32043040159924,2.02538803843147,0.542800172835302,1.05034955496725
"Gpm6a",1.64360874405174,1.46368653106419,0.377387929360404,1.08883688738431
"Cpe",1.43567017910857,1.4416402967724,0.875346857772367,2.84790082305737
"Prdx2",0.970371409050453,1.73410219300087,0.615250178660768,0.792525626949055
"Cbln1",0.011024650028195,0.106145174053987,0.0185665347202466,0.473869126011214
"Nrn1l",0.0233665536494136,0.0315442401500602,0.402678954533607,0.0263441717949931
"Gm10073",0.476129078045692,0.557089947556212,1.45943961140938,0.459021654596233
"Calb2",1.38112261741446,2.48691751184448,0.478897857406197,0.837954916220615
"Synpr",2.03864500059642,2.03729054006849,0.338205799940454,0.422183663545878
"Rps24",1.87327787728999,2.11720352772339,3.49358613369368,1.65748422866707
"Cdhr1",0.0538208175640875,0.0547466722106776,0.0585364660714555,2.19313904101998
"3632451O06Rik",0.0264830170567114,0.0262020257562429,0.00745873116937085,0.574659792101406
"Cpne6",0.684739382615381,0.191451073355002,0.13061242482601,0.223868876767496
"Itm2b",2.88020166953254,1.8123935922911,0.91871919227124,2.38304995782795
"Tpt1",1.28738214021756,1.53197962013666,3.54763656331535,1.20156048647617
"1700012B09Rik",0.0403703486855526,0.0317538060134867,0.814479195570472,0.0423080997107327
"Icam5",0.613255370214221,0.144506514901645,0.0378819507563161,0.0723751201729701
