"","GC","PGC","OSNs","M/TC"
"Cpa6",0.43731204097209,0.013985803851431,0.0184491046042595,0.0642474238624246
"Kcnb2",0.562686318968386,0.0720915521148626,0.0761174617908916,0.120030106826112
"Cox5b",1.6880839435424,2.15795549485666,2.70448719679661,1.60490352249684
"Resp18",0.139218809646162,0.711927024745674,0.0406426895590019,0.555748213137424
"Serpine2",0.689528005330596,1.4288508133077,0.33872240910157,0.414861096562132
"Dner",0.391163393432305,0.451541257281905,0.196388747570238,1.61514484367299
"Itm2c",1.90458160980132,1.41250927668828,0.379441531410349,1.4288536117507
"Tmem163",0.0101172831273775,0.00628171094297568,0.0137566469315726,0.877444266263676
"R3hdm1",1.26634702849221,0.629132398472325,0.143173461366756,0.622306845964372
"B3galt2",0.103138249782812,0.507515804370355,0.0292205612455787,0.262980929840338
"Dnm3",0.329519431890718,0.84751593469775,0.0959594567690039,0.344499260268182
"Atp1b1",3.42412160364809,2.75801117046536,0.948702468743609,3.4561615538741
"Pbx1",1.29103111406753,0.69573000705455,0.464856456458733,0.573423714593295
"Pfdn2",0.900007498709381,1.21549518816703,2.3836387224698,0.893068933150387
"Tstd1",0.0279909987164631,0.0303077144604356,0.702189087648747,0.0485357120965034
"Rgs7",0.121834449235845,0.56358750298229,0.0218552247649561,0.127521920119048
"Opn3",0.0606232032178351,0.299582303657501,0.0135971303838618,0.0357931541312156
"Acbd7",0.0768882429287677,0.077256565576042,1.57521658586845,0.081703826787996
"Celf2",1.62735021145306,1.15101277050188,0.451106968026134,0.937458102785047
"Cacnb2",0.0867684301537258,0.638450374897365,0.0119087431504264,0.0714653403257659
"Gpsm1",0.755165980364844,0.321704707419983,0.214567320090136,0.239446050985034
"Olfm1",0.355141544092173,0.360308758229715,0.328847556613139,2.7215374073649
"Gad1",1.89111197387253,1.84276818429734,0.852764183318839,0.743033372986699
"Lrrc55",0.0574166196450988,0.0197112686851215,0.0514025385048073,0.689302916064467
"C1qtnf4",2.0576464641616,1.01577235765289,0.422921933135941,1.49606732487778
"Ano3",0.800422001138546,0.0686581107808126,0.0715249198227091,0.133295948005694
"Grem1",0.03367337203595,0.788202914118872,0.0169371527723198,0.0260749896170311
"Meis2",2.26401493372123,1.98573679996635,0.564271574708203,0.6544966602657
"Slc20a1",0.0703744892249553,0.144974507759654,0.050570553479925,0.966384387684832
"Chgb",0.699566388755005,0.798266948122448,0.0856469059711236,2.37447944270068
"Snhg11",2.44984247253303,2.59919489061096,0.221717609129488,1.35808696282776
"Zfos1",0.428205486930918,0.403440965160609,1.51352479818613,0.333189268941829
"Tshz2",0.096625829580652,0.246347146392741,0.972492320517134,0.657964325890603
"Cbln4",0.00736988906142226,0.0128621583282685,0.0029254798239989,0.49818952991952
"Gm27032",0.679218730401516,0.287865699941436,0.0634166690261511,0.178951457072561
"Gria3",0.729609899054042,0.0710555130771896,0.0971518211561464,0.125667680999695
"L1cam",0.0247707156970722,0.0553834859851408,0.00749706216925368,0.431651110705564
"Il1rapl1",1.07210770385172,0.49397617037652,0.0565712399359966,0.126116232816286
"Tmsb4x",2.77447298840429,2.88008599506661,5.04145245841958,2.80879144464123
"Crh",0.0125045290810704,0.0316203252009938,0.0123160266907828,0.384076336164998
"Gm11549",0.0550216190669371,0.332096660414169,0.00562068474238846,0.00489277615107967
"Lhfp",0.0621810266478505,0.0655185820483429,0.0808241416841921,0.885576102973064
"Stoml3",0.049082258471118,0.0503137066321443,0.979514568500268,0.0467956778251718
"Dclk1",1.30456548632634,0.711807326379636,0.367028796239036,0.878202204135342
"Fstl5",0.168355700445186,0.367167748308804,0.0677176997202543,1.28894418030866
"Gria2",2.63835822979646,2.00492174293499,0.397003182102767,1.48501264108761
"Gucy1a3",0.221580426718192,0.775063768804619,0.0555151152336864,0.0864495068135202
"Npr1",0.00474869505355268,0.00762459647823236,0.00870230044697092,0.429106186264949
"S100a5",1.30706417387737,1.22634261823847,5.4552038088065,1.58065799735801
"Riiad1",0.0444951177318751,0.0706779618822604,0.689806803367412,0.0443905508473777
"Atp1a1",1.28182338520531,0.349019284209257,0.241879450780187,0.918767763555018
"Syt6",0.49408229052813,0.106724796014526,0.0524957950590483,0.0622670345756003
"Kcna2",0.0578301744351606,0.101925923102655,0.0495446647967796,1.02884084910751
"Plppr4",1.21825248313722,0.53436663934582,0.221459677217649,0.689765133233082
"Pde5a",0.0753794381747581,0.327876722302722,0.0346598284571777,0.0152303636485616
"Gm11808",0.558892706724066,0.662062832652126,1.83387294217844,0.535409488481834
"Penk",0.66404665390876,0.117656006405004,0.0930640255083595,0.0855521863444551
"Cnr1",0.0377629491069529,0.397605495052699,0.0170591159610519,0.0392205956211434
"1110017D15Rik",0.0579423064064766,0.0596319551547969,0.95987871682281,0.0707806377027411
"Enho",0.226752456457421,0.828322252235844,0.214082843017981,0.356949665249481
"Whrn",0.0540686698904612,0.316384163341393,0.0293745468799824,0.0343274072743749
"Atp6v1g1",0.775847216523335,1.46550020585624,0.729601312921615,0.554470374731856
"Ptprd",0.139289535176953,0.318362134996182,0.0413429825378924,1.46752816186189
"Nfib",0.394485606314897,1.04794190402023,0.0985712087314605,0.13258621720284
"Marcksl1",0.679483480610423,1.36820847460328,0.195483635121992,0.33137594694778
"Sdc3",0.0454362671946595,0.0451515040947463,0.0697373703069504,0.742975034216141
"Rsrp1",1.92440518710696,1.77012584934172,0.245113788908249,0.843299685156402
"Nppa",0.13743769085872,1.26196138373478,0.0566045649408578,0.0774735280472923
"Fam213b",0.212525273851112,0.294608882091262,1.6385859152855,0.259086034882504
"Sema3c",0.598450697031838,0.0707366756871128,0.0693206883315442,0.0840914404717462
"Reln",0.0525345350138019,0.304088456297568,0.0845405201517367,1.94419663068093
"Tomm7",1.00208106575194,1.30763144001796,2.12900301527062,0.902730823513742
"Jakmip1",0.175016661623125,0.161680771589389,0.921546147093737,0.145775963987652
"Pcdh7",0.578968842310108,1.18969231902175,0.111433999708273,0.669222909004084
"Shisa3",0.0106606224882585,0.00943608052006718,0.0152734777752965,0.52593769095531
"Epha5",1.70003849638871,0.198994746568665,0.178428915638297,1.27687143478223
"Spp1",0.0302860264622618,0.0313509010961476,0.0235060155703055,1.33900433154741
"Atp5k",1.76509297967978,2.10489709528037,3.0549795780821,1.58079339530909
"Ttc28",0.118914068056172,0.427183538561086,0.0464419529785445,0.113786171015972
"Cox6a1",1.80111898793816,2.19113527528836,2.74317402305695,1.80164050604508
"Auts2",1.10004007727976,0.943151490894901,0.11212851301754,0.320270312649406
"Nptx2",0.0913178884468942,0.0145872886400002,0.0234431876127519,0.656101345267038
"Atp5j2",1.64624787841815,2.19650028338813,2.68707928153566,1.62660083016219
"Nxph1",0.338186230299499,1.34375605639942,0.0396251441851265,0.085165464267474
"Thsd7a",0.057025191962787,0.0423527231296766,0.0379540056769422,1.17856681275925
"Cttnbp2",0.79574505918486,0.401036699135645,0.0743910176770236,0.30581438455416
"Tmem176b",0.163704307542899,0.531833179873689,0.0647890623210236,0.130030091143195
"Pde1c",0.110691711095971,0.676643947882126,0.0946865409594992,0.0325562318600562
"Nap1l5",0.840780723547601,1.97097924943253,0.242325175838145,0.510198394707062
"Ndnf",0.091093197641504,0.0955531890751112,0.0459091659366988,1.14239225077308
"Lrrtm1",0.0105194603643372,0.00633689296250889,0.0049649749153087,0.34725301992012
"Mgll",0.226046776216952,0.691949808683077,0.169234458780565,0.170299330069417
"Trh",0.15654364104634,0.801198521650129,0.0361613615638225,0.0630381506252128
"Magi1",0.311707969313865,0.786807843264057,0.0687803002711005,0.202063165497009
"Tspan9",0.0343723387181038,0.066795797527402,0.0292757181290093,0.578649895270747
"Cdkn1b",0.236790115211321,0.75940941170651,0.0530195498911034,0.126261278465713
"Apold1",0.156856988948954,0.901070170271836,0.0163524911313357,0.0350265881981373
"Grin2b",1.9848096975312,0.878148986304608,0.150865218831433,0.324879307025691
"Ptpro",0.767143624828043,0.379130051699822,0.120182096599822,0.16696704085343
"Ndufa3",1.51852405320533,1.93358513835377,2.51711203620841,1.52799123878204
"Atp1a3",1.99837780960784,1.52772350831382,0.295579622631558,2.10747832587844
"Aplp1",1.44443532212809,0.861907791284223,0.278085430610872,1.23626264783837
"Cox6b1",1.82601356716037,2.45374472249152,3.02204817981854,1.78417312685336
"Chst8",0.00383781666040516,0.00780143011678863,0.0081684304593432,0.322562863382994
"Atf5",0.121944525651722,0.167681206453035,1.25508123785319,0.131456363324901
"Slc17a7",0.0834823327367595,0.0841154252575739,0.199937133593068,2.41163021373716
"Pth2",0.045023367840806,0.0208239457726368,0.911051726532785,0.043340484414685
"Dkkl1",0.00624739026990573,0.00355417465110471,0.00763820554736858,0.346097423645014
"Slc17a6",0.00540763833419929,0.000906717182248271,0.00687195271718002,0.233831379950646
"Ube3a",1.68643794800795,1.77531994838803,0.147527386314424,0.813042877943111
"Sv2b",0.00992200290988285,0.0157204501237093,0.0125330255344941,0.890655733617703
"Nmb",0.0523503330064046,0.0521813505432176,0.0780325623974546,1.60061700197504
"Omp",0.0743238127188631,0.0800251451326864,1.47967311275505,0.106097168986573
"Spon1",0.230459006963017,0.839449913402634,0.0267623176669087,0.18595752245277
"Rgs10",0.248864486828872,0.814265426650236,0.107404281554997,0.152185003582497
"Grm1",0.103954009870589,0.209462065248005,0.0517313654623043,1.10623253200641
"Cited2",0.455743488666266,0.960870200112029,0.0918955094315002,0.173197390801763
"Ahi1",1.45138312498019,1.29496586302987,0.147101907498417,0.550526885810578
