"","GC","PGC","OSNs","M/TC"
"Cpa6",0.427995835984415,0.0136413934658588,0.0167065159120512,0.0630687710039169
"Kcnb2",0.549791926765406,0.0699985582188058,0.069389542550346,0.117508403123577
"Rpl37a",3.04854377717299,2.959544731723,4.74053064512754,2.58767518895058
"Resp18",0.135548923551235,0.69499942276239,0.0368596477665743,0.546613979974554
"Dner",0.380965782923277,0.439933549121918,0.17870670079836,1.58821957887611
"Itm2c",1.86193635918967,1.37827447722489,0.346624716232689,1.40178713518983
"Tmem163",0.0098645347886625,0.00608661893675039,0.0124497915546986,0.864580350409332
"R3hdm1",1.24100593041178,0.61304403695738,0.130767509019557,0.613621644642923
"B3galt2",0.10020021659754,0.493583646780138,0.027036689274428,0.258366240982942
"Dnm3",0.320463014184197,0.826706454307089,0.0875061412146003,0.338142397348551
"Atp1b1",3.35948440420777,2.70108408409725,0.871276170729868,3.40461862473921
"Pbx1",1.26222765042198,0.678341756392592,0.425047448405991,0.56123394887974
"Pfdn2",0.874429686660886,1.1816853234417,2.17622249204755,0.869629960454315
"Tstd1",0.0271557770108196,0.0294005966058888,0.633821185955012,0.0469589179039753
"Rgs7",0.118155148914648,0.547469443280774,0.0201857288058654,0.12477612182546
"Opn3",0.0586628690771281,0.290682200523345,0.0123622678911527,0.0347447282284157
"Acbd7",0.074481634276449,0.0752273856509513,1.4327707477872,0.0785090119823321
"Celf2",1.59174884802428,1.12101482542146,0.411446477316798,0.921692108965006
"Cacnb2",0.0842177749956567,0.622175475838656,0.0110351573846348,0.0703937070876751
"Gpsm1",0.73680886165497,0.312752755858467,0.196569371319654,0.233945508392119
"Olfm1",0.345869708772503,0.350662227720528,0.295408824290968,2.68007914444026
"Gad1",1.84870610561799,1.79907087833284,0.776967816659496,0.725674928739819
"Lrrc55",0.0559603576622387,0.0191234346235655,0.0466118329174446,0.678447039232492
"C1qtnf4",2.01450602269133,0.990526000649623,0.385358869811907,1.46979833364467
"Ano3",0.783842245615917,0.0667946190072386,0.065090140935889,0.131112723187426
"Grem1",0.0327169182369019,0.768358536094707,0.015655489026395,0.0257803045543787
"Meis2",2.21674094659282,1.94147241161787,0.518645601095201,0.639660270508782
"Slc20a1",0.0685829406129934,0.140915993688375,0.0455635349791325,0.952501735920409
"Chgb",0.682587671182921,0.778129409518163,0.0784204425390338,2.3374915798739
