"","GC","PGC","OSNs","M/TC"
"Cpa6",0.956028798981512,0.165449220931356,0.221401257043241,0.378452985115917
"Kcnb2",1.06291508829087,0.374568254510272,0.451213922471902,0.51594527537536
"Rpl37a",1.26839712860767,1.08467535464708,0.85696699440197,1.50633568546606
"Resp18",0.56009645394087,1.06595003048116,0.328861126145733,1.06851658340152
"Dner",0.908268441199955,0.893147395519174,0.716146497969642,1.51314864782773
"Itm2c",1.45575886018899,1.2564451018719,0.973397128713519,1.47901165363126
"Tmem163",0.151793783050681,0.11051716618741,0.191125303102178,1.28398678131525
"R3hdm1",1.39735836500117,1.0179161178314,0.61683375606198,1.12240780781047
"B3galt2",0.483760417615526,0.935858775849591,0.281652645671911,0.756215823587888
"Dnm3",0.84023204660276,1.12948443048112,0.506702205693521,0.858916750855961
"Atp1b1",1.12386885014942,1.0803874058401,1.42266309557177,1.24181151270238
"Pbx1",1.40183187052621,1.05669973893245,1.06542184841322,1.08091581546494
"Pfdn2",1.26990795278192,1.23533117599143,1.72375334351352,1.28669699779843
"Tstd1",0.251852590480037,0.242874094603233,1.25935581555046,0.326564198108934
"Rgs7",0.524103640469168,0.974209234578156,0.243365685235856,0.531355132547738
"Opn3",0.370163325718147,0.744959779396557,0.190452300303398,0.280902834511401
"Acbd7",0.417092325164087,0.388267945845818,1.68576445763994,0.422238027219423
"Celf2",1.44548383765094,1.22379216887451,1.05037489196192,1.31308163677804
"Cacnb2",0.443512512945986,1.02360684792977,0.179939460752781,0.399823776411173
"Gpsm1",1.19127570935256,0.770090658403554,0.749160515958491,0.721101892775723
"Olfm1",0.86979133183257,0.810398925614781,0.905368398045344,1.49337148524201
"Gad1",1.45557167204746,1.24833465662244,1.36218507448554,1.20187226749253
"Lrrc55",0.36153679305208,0.195889034907233,0.369815235147719,1.16985585843161
"C1qtnf4",1.4515880492383,1.19031677127891,1.02048812467667,1.49285909322072
"Ano3",1.21985983969925,0.365916242817272,0.437012044252262,0.54440600762859
