"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"A2M",0,0,0.0591022271853844,0,0,0,0.994413630839782,0.0789992846769581,0.333783393499457,1.09616959574367,0,0,1.33137448991463,0.904810276944426,0,0.412139041312555,0,0,0,1.14796847511028
"A2ML1",0,0.118165388186617,0.047924183383176,0.123061245516485,0,0.900827315410075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0.0786367322315046,0,0,0,0.839321148341826,0,0,0,0,0,0,0,0
"ABI3",0,0,0.0628460085811128,0,0,0,0.919106854387751,0,0,0.831264787716043,0.922862175370485,0,1.01665141690812,0.683500716128277,0,0.690216409777398,1.13583705675139,0.452673129659977,0,0
"AC116565.1",0,0,0,0,0,0,0,0,0,0,0,0.839321148341826,0,0,0,0,0,0,0,0
"ACKR1",0,0,0,0,0.109145778878373,0,0,0,0.272675736404473,0,0,0,1.29056079343715,0,0,0,0,0,0,0
"ACTL6A",0,0.588184004272043,0.556780685475153,0.977198619363317,0.54938042712245,0.667696555789924,0.377860615304512,0.565343399406637,0.405408482332893,0.575701514273259,0,0,0.855435467886294,0.361568296271227,0.377438968034162,0,0.453149267681892,0,0.341777773194254,0
"ADAM33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73725403178872
"ADAMTS12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724126199284526
"ADAMTS2",0,0,0,0,0,0.0976179002970751,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03428945415167
"ADAMTS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659596007266781,0,0,0,0,0
"ADAMTSL1",0,0,0,0,0,0,0,0,0,0,0,0,0.611526030796711,0,0,0,0,0,0,0
"ADAP2",0,0,0,0.161681118815933,0,0,0.91986635809785,0,0,0.935775659412976,0,0,0,0.986019542095239,0,0.879131954268857,0,0.502583743388369,0,0
"ADGRL4",0,0,0,0,0,0,0,0,0,0,0,0,1.31735621287221,0,0,0,0,0,0,0
"ADM",0,0.726540677081058,0.773462511447753,0.529177876293609,0.815226743446644,0.281096671889686,0,1.07786650304221,0.740405604849894,0,0.634151538342169,0,0.823718533740283,1.10911447264818,0.532853711840361,0.718341882575018,0.345829470173594,1.08599128549079,0,1.33806851470612
"ADORA3",0,0,0,0,0,0,0.794656099893864,0,0,0.498915977155942,0,0,0,0.745441113277696,0.645439181949512,0,0,0,0,0
"ADRA2A",0,0.762135535600904,0.95310744687576,0.368349848439548,0.77050972828206,0.150058082802903,0,0.591104278805798,0,0.253846181204872,0,0,0,0,0,0,0,0,0,0
"AFF3",0,0,0.0606562318354673,0,0,0,0.476881281946961,0,0,0.253846181204872,0.756191679211581,0,0,0,0,0,0,0,0,0
"AGR2",0,0.930343348335218,1.02573087025573,0.988373062579403,1.05952105340187,0.935840008646139,0.431650925509066,1.07689540373378,0,0,0,0,0,0,0,0,0,0,0.341777773194254,0
"AHNAK2",0,0.345559388487552,0.211811583529482,0.919851501511668,0.294698982467073,0.981193558741666,0.431650925509066,0.390658617532589,0,0,0,0,0.547934640146587,0,0,0.424737010118849,0,0,0,0
"AIF1",0,0.115407133205541,0.076759087894713,0,0,0,1.09477935937326,0.0980984247649766,0.318304196030425,1.1235320604603,0.883582662471527,0,0,1.11251331897463,0.377438968034162,1.24762983535568,0,1.35597787963584,0,0
"AKR1B10",0,1.01652041343597,0.774991108340492,0.466236237186916,1.01576135965124,0.197156629531022,0,1.04210222813581,0,0,0,0,0,0,0,0,0,0,0.44822780799748,0
"AKR7A3",0.640626985393842,0.851192302879019,0.494579781538645,0.433011991373635,0.686984410238966,0.157069382190138,0,0.485805749284337,0.339536209161608,0.231495695484355,0,0,0,0,0,0,0,0,0,0
"ALAS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32659238316171,0
"ALDOB",0.505596194106415,0.651209103919551,1.02460038958415,0.394724950471554,0.88404118267537,0.203602400985033,0,0.743836930067963,0.312868580931168,0,0,0,0,0,0,0,0,0,0,0
"ALOX12B",0,0,0,0,0.0797679988039229,0,0,0,0.763948861674179,0,0,0,0,0,0,0,0,0,0,0
"AMER2",0,0,0,0,0,0,0,0,0,0,0,0.846305171372108,0,0,0,0,0,0,0,0
"AMHR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706504238560278,0,0,0,0,0
