"","GC","PGC","OSNs","M/TC"
"Tram2",0.00417502114973493,0.00427123638022549,0,0.00672818040930463
"Ogfrl1",0.145221554124376,0.134826303534703,0.0721803533935004,0.44983026865125
"Adam23",0.0358298497599816,0.0636605147871241,0.0327954519013139,0.281539237962505
"Scg2",1.10289839129894,0.743656265274682,0.176390148715055,2.04930105511793
"Dner",0.344659617703848,0.40060459430843,0.146277423422128,1.47225852335812
"Cab39",0.158323406238224,0.159282113119278,0.0563490645074716,0.153987236003884
"Tmem163",0.00891604950010745,0.00547981343619424,0.0102103973160591,0.804354778804531
"Plekha6",0.0124899086113874,0.014592909782222,0.0036827065246243,0.0602444080778386
"Lad1",0.000814806289834308,0,0,0
"B3galt2",0.0913795424400958,0.451968541169446,0.0230430521162204,0.238435158560227
"Rabgap1l",0.174271605226287,0.206892457426403,0.0540186078457936,0.274049161600762
"Prdx6",0.314870436278656,0.331951592014674,0.35668019245189,0.473194941962272
"Dnm3",0.292352925236927,0.759821607063668,0.0721338305068612,0.309710832047802
"Fcer1g",0.0691279155819267,0.0576655474792337,0.0696193941784309,0.0953846588565224
"Vash2",0.0134875600889133,0.025751926661349,0.00519331223086347,0.0650762322214324
"Gad2",0.529067763472241,0.754105374569841,0.117265797714315,0.15783186206734
"4931423N10Rik",0.00106724064595237,0.00210933007213629,0.00245448903877999,0
"Stxbp1",0.592957944423462,0.408612095102698,0.218521171409508,0.678791027069689
"Stom",0.0226345736553013,0.0346706197140449,0.19009107581866,0.0356480315385394
"Rbms1",0.0476671639548878,0.0999750417579051,0.020161566200792,0.10995245815823
"Gm13629",0.00935582068800666,0.0601819870004641,0.0018251207514568,0.0221564709735819
"Pde1a",0.0265451148280542,0.0105268719996515,0.00500674079145497,0.0160222778578341
"Pax6",0.220074888434335,0.541928539775987,0.0493567984360592,0.0575627290319388
"Gatm",0.105800347712901,0.126499069640049,0.170784902067017,0.177864911780592
"Prnp",0.815066281461203,0.764267100846116,0.243171291903616,1.62035049808742
"Insm1",0.0468715899439884,0.239322878402098,0.0283148445679597,0.0196073242348068
"Mapre1",0.140959835900992,0.164096470237342,0.0724479194969953,0.201333425210921
"Syp",0.718276873555702,0.525496417320651,0.122056233682317,1.83132376813911
"Syn1",0.41700754745898,0.346544875238372,0.139501423289301,0.332985017355608
"Fam122b",0.00635993786318918,0.0080290075266278,0.00318650246733177,0.00851311363136905
"Arhgef9",0.299961863600025,0.307851281037533,0.0748150986720947,0.368294514104106
"Chrdl1",0.0130321173696106,0.0137686619869655,0.0130037883337943,0.0231865130920165
"Stmn2",0.231379133154809,0.40667982465145,0.390999521875743,0.748761528138714
"Cpb1",0.00074034863827697,0.00151919291097886,0,0.00214088568558857
"Gm11549",0.0486567396057078,0.295591347494369,0.00448821407848021,0.00429211371817465
"Lhfp",0.054493247463238,0.0581291004752176,0.0606580545043613,0.800989065008003
"Tm4sf1",0.0104672244291496,0.0172490945704168,0.00578101664651895,0.0362545927316284
"Mbnl1",0.0846982444188538,0.210166984873543,0.0396995653172384,0.184016918776208
"Fstl5",0.148993355101749,0.325272368975231,0.0522759719754257,1.17962926551463
"Syt11",0.743541511848091,0.793705274157835,0.123250607929262,1.24474932322842
"S100a10",0.310236627436568,0.194875194632085,0.115766099118242,0.123525455975812
"Riiad1",0.0390828157265187,0.0621431268896365,0.50956808304382,0.0381934450934744
"Gstm7",0.0358484207688012,0.0823912429125141,0.0184293529012198,0.0352387159875376
"Npnt",0.00313068774946786,0.0245438196117917,0,0.0333939492274717
"Lmo4",0.0933658106898802,0.0711094506208381,0.078375928231245,0.142615612255867
"Cyr61",0.00260475431691372,0.00504058382743488,0.0035438897523725,0.000786422909972069
"Prkacb",0.289343547026797,0.433516254539894,0.0924042026151376,0.398738353981884
"Fam73a",0.0905935345636641,0.102580760048198,0.0149123610971284,0.200163879247996
"Pm20d2",0.00726059093618342,0.00196149149569787,0,0.00419487769111777
"Zfp462",0.0730595421126422,0.135245187189317,0.0254278623617438,0.107794251867033
"Adamtsl1",0.0402091537691864,0.0912840385061787,0.00215647773616477,0.0167262079478564
"Dnajc6",0.150475114094208,0.220043157320447,0.109980937853497,0.399504410751449
"Dmrtb1",0.00112918684248796,0.00122271029812004,0,0.0116071876086608
"Cyp4x1",0.0271526964970951,0.0196949949285227,0.00675949480159838,0.220009814416902
