"","GC","PGC","OSNs","M/TC"
"Cpa6",0.856217667899963,0.14832583512464,0.181633314825572,0.346442924323801
"Kcnb2",0.951254430743183,0.338439322065882,0.372102150118668,0.471199559915185
"Plekhb2",0.588392146410346,0.857616876793834,0.531059792180133,0.771614012867271
"2010300C02Rik",0.708335645443458,0.35698486757253,0.342000002952396,0.404273753533527
"Rpl31",1.33472687768134,1.14685720570528,1.41056788798482,1.40477627148116
"Trak2",0.450807398597813,0.406080945071559,1.02865795292376,0.409104196535223
"Sumo1",1.08329136257793,1.13101500459276,0.838898809193385,0.94025355876791
"Adam23",0.273377651404642,0.338175214103635,0.279772211204105,0.750899923562855
"Rpl37a",1.18927809250228,1.00966900415553,0.852412140094816,1.42944511419253
"Igfbp5",0.661425309117514,0.61598441529411,0.547876381616617,1.16585088398558
"Ptprn",1.12430413365944,0.884444449774567,0.478146483685383,1.08526199129803
"Resp18",0.506330118199157,0.958708860934749,0.270798753814885,0.982141449796984
"Asic4",0.31442991333149,0.604694778080843,0.093131563168274,0.182069483703681
"Scg2",1.25341208229855,1.00934533535518,0.642645284507253,1.46100468745903
"Dner",0.813665359257713,0.804789942106318,0.587482041151936,1.41218643093809
"Itm2c",1.33493808311,1.14116628659357,0.8091128264028,1.37403473096787
"Ptma",1.32989410064456,1.04138811729656,1.43893139476553,1.31162555770883
"Sag",0.937198447129451,0.753966063875667,0.216739914922298,0.403470702227785
"Dbi",1.29443597603297,1.14574669281521,1.43452791456812,1.43287009523403
"Mgat5",0.37614235059579,0.31883368115525,0.217243063294281,0.934997303446653
"Tmem163",0.136372619512975,0.099292536392027,0.156106272440436,1.18449527287264
"Ccnt2",1.04051328897881,0.861520050529632,0.312007797869588,0.690921363271757
"R3hdm1",1.26192940253825,0.914983725846157,0.512004657697859,1.03030968195076
"Adora1",0.213939626587527,0.272929643997752,0.221720151925746,0.754434768206017
"Adipor1",0.600624752640981,0.603855974569354,0.847474489170934,0.657122689000707
"B3galt2",0.436572928771337,0.844917641130363,0.234513911053039,0.694116169755856
"Cacybp",0.740570004684976,0.925018031069246,0.529601767435006,0.656384788812853
"Dnm3",0.756184512025796,1.01606653737012,0.414911499152058,0.785233043784858
"Atp1b1",1.06191064082445,1.02325167842329,1.20113674174862,1.2937154519736
"Ildr2",0.87392034821802,0.468505456480861,0.354083032826495,0.466814130227881
"Pbx1",1.26717849840687,0.95141540909266,0.890581929791848,0.986824608376508
"Pfdn2",1.13783815420209,1.1141151404494,1.4350873563909,1.17934386752777
"Tstd1",0.225056487292395,0.219525847972214,1.04990725806184,0.296281757394067
"Rgs7",0.472775509938336,0.879217942416706,0.202255436547028,0.486902368962012
"Opn3",0.333577877833563,0.673137419059965,0.157339325053946,0.25806697744376
