"","GC","PGC","OSNs","M/TC"
"Tram2",0.0945006406499682,0.0874674624452315,0,0.117153021961035
"Ogfrl1",0.544601791080059,0.483769242047314,0.422830646955219,0.934401208299763
"Adam23",0.275471292063729,0.335684012199305,0.285017049669241,0.750132142320592
"Scg2",1.34994246876894,1.03010419432807,0.649926662353917,1.60789213537363
"Dner",0.80692746175922,0.800162187340188,0.596386004784693,1.44509035021956
"Cab39",0.567254775228021,0.524004907474992,0.373597902603536,0.558895657229669
"Tmem163",0.137996490879004,0.099066316265052,0.159032554798241,1.18786226824242
"Plekha6",0.163236704108429,0.161567522270506,0.0955098778533344,0.350501935169259
"Lad1",0.0417697857560894,0,0,0
"B3galt2",0.43616763547407,0.844464473045556,0.238910091920426,0.692202685560051
"Rabgap1l",0.593379550555179,0.592933743296968,0.365791163289158,0.740447530244855
"Prdx6",0.776381874276324,0.735225958645311,0.887735537200836,0.955716914648235
"Dnm3",0.751911328405204,1.03605395882378,0.422694374904046,0.785273831720524
"Fcer1g",0.380662509975961,0.319732534406388,0.415262663975281,0.440906937946223
"Vash2",0.169604325825928,0.214424169920671,0.113419296533139,0.36427550081919
"Gad2",0.960633721506984,1.03428616167954,0.537922250552798,0.565720125992949
"4931423N10Rik",0.0478023204744185,0.0614727271237174,0.0779731865767707,0
"Stxbp1",1.01034172950646,0.80733324655274,0.715700061203746,1.11346147699299
"Stom",0.21939882499477,0.248579249926435,0.672357087507301,0.269649432183767
"Rbms1",0.317149754078493,0.418508545037595,0.223473848330444,0.473245158320997
"Gm13629",0.141349006209408,0.326530322062589,0.0672373419354211,0.212592125281689
"Pde1a",0.237451560626371,0.137264988486958,0.111363349924177,0.180785361273797
"Pax6",0.66121421866379,0.913073721655787,0.349651809298197,0.342617546129709
"Gatm",0.468256551786247,0.469121596658939,0.640425186110172,0.59992468512779
"Prnp",1.14189177528849,1.03699850742805,0.750339382582327,1.48431987899457
"Insm1",0.314530801516723,0.634427701675659,0.264832558042984,0.199989872952707
"Mapre1",0.536976541683511,0.53149255414779,0.423613533729441,0.63745501531568
"Syp",1.09591042511851,0.900794920078499,0.548133004047241,1.55983168681501
"Syn1",0.873278326743573,0.74938698583759,0.583410050882019,0.812890251499572
"Fam122b",0.116595732368246,0.11989768703059,0.0888427235795373,0.131779686644017
"Arhgef9",0.760275808234001,0.711154638545746,0.430477726100665,0.852558278859805
"Chrdl1",0.166728077081523,0.156948054314516,0.179473213357418,0.21747719830127
"Stmn2",0.676594183242183,0.805570921049166,0.923861572260628,1.1561226707042
"Cpb1",0.0398160610541018,0.0521705799232441,0,0.0660848654515434
"Gm11549",0.320375687901508,0.698388541666726,0.105439057483257,0.0935708751644317
"Lhfp",0.338740072086361,0.320996348607035,0.387618406719529,1.18607337795048
"Tm4sf1",0.149482999046768,0.175620677166996,0.119664916285558,0.271933287578556
"Mbnl1",0.420349759013987,0.597301707312961,0.313585772480888,0.610009588486371
"Fstl5",0.551242110427601,0.728657221912145,0.359842851855272,1.37128091526103
"Syt11",1.10916419173902,1.04021280537363,0.550641464060509,1.39573409631352
"S100a10",0.77144673543053,0.576527354569796,0.53467489905191,0.501302230008117
"Riiad1",0.287558941224637,0.33172448737323,1.01783972457227,0.279108048726596
"Gstm7",0.275541875833142,0.380912878375918,0.213658244754699,0.268097245732381
"Npnt",0.0818458450306931,0.209357599136477,0,0.260986912151099
"Lmo4",0.440748527107744,0.354429391877235,0.440601618090157,0.538164706618878
"Cyr61",0.0746613920765157,0.0950152894678736,0.0936925017604494,0.0400528475249579
"Prkacb",0.748569662511814,0.829233405976842,0.478403221399072,0.88471634996751
"Fam73a",0.434339985323555,0.423758435675993,0.192193137548295,0.635642713928868
"Pm20d2",0.124560611830399,0.0592796698881902,0,0.0925049014071995
"Zfp462",0.391100910518904,0.484492296368757,0.25096857007335,0.468621338892581
"Adamtsl1",0.291622032090365,0.400425894695457,0.0730865100054553,0.184713853970685
"Dnajc6",0.553823803638547,0.610223811805075,0.521909745152897,0.885500799579034
"Dmrtb1",0.049169576720954,0.0468042252740227,0,0.153874529227285
"Cyp4x1",0.240130872259535,0.187621358927979,0.129396297086567,0.665650364626054
"Sh3bgrl3",0.959528451945736,0.911228768867043,0.8063637724981,0.943495512472851
"Luzp1",0.394693672157957,0.449632168467704,0.21732492589133,0.43256553572475
"Ptchd2",0.144817590406759,0.10999577703374,0.123035075548309,0.705487861402551
"Ajap1",0.401341656288718,0.501376497089323,0.237525170026633,0.959700517875546
"Hes5",0.559296075249345,0.5745161191413,0.554258147624353,0.653555079006948
"Isg15",0.234769575254684,0.223971048539765,0.218654978151277,0.277115940201803
"Reln",0.312793305828345,0.674703336163862,0.39897901635418,1.53757316511971
"Lhfpl3",0.382415417653591,0.640256306744405,0.221864602516336,1.07075469776975
"Apbb2",0.265686609984048,0.372295659978495,0.124451628873056,0.428831474343767
"Shisa3",0.140563756039052,0.122156100021425,0.167797058390622,0.961191510285339
"Kit",0.199166962611218,0.398162660895957,0.16911729207727,0.2579091081902
"Cdkl2",0.238844685023672,0.234088028541846,0.19986013835167,0.404565104620983
"Rasgef1b",0.150044156816944,0.126798182660271,0.133802919720774,0.27745125694864
"A830010M20Rik",0.297665860944383,0.384896887948358,0.184476159133331,0.420316603883761
"Dtx1",0.296903272161729,0.392558787671147,0.252992882203115,0.470930331632315
"Hspb1",0.249774443431679,0.360005651355288,0.21437560884423,0.298585289392115
"Prkar1b",0.703710758857881,0.768002931819726,0.464122656283843,0.795341433217418
"Tac1",0.236969774379652,0.211460233189649,0.0953109327726837,0.149203815269448
"Thsd7a",0.325643241479564,0.258966119715035,0.263403160621438,1.32843572977315
"Ptprz1",0.543245023078017,0.653925226886152,0.646780631867019,0.69546241716281
"9330158H04Rik",0.516234276444671,0.458617784870199,0.303141644603847,0.280732526716264
"Cntnap2",0.634149274400569,0.505713383471153,0.219653666930457,1.10320031612011
"Trh",0.53490257580699,1.02903316923003,0.263680510954287,0.338879958445714
"Lmcd1",0.187521719921797,0.15047744540115,0.168298170780221,0.103990792997533
"Slc6a11",0.576347577799791,0.561081984737463,0.74913361135834,0.71611850143601
"Syn2",0.948611368010432,0.829192423837934,0.536294693784448,0.676171846492906
"Apold1",0.534703871744573,1.04167843767284,0.169607001778745,0.25180094451109
"Etnk1",0.916464083479915,0.878891549043931,0.47469296598125,1.03768064915272
"Bcl3",0.0190077704705915,0.0741382557350218,0,0.0606707190160329
"Chst8",0.0841997973928397,0.110512149413001,0.126845600095772,0.764219737042046
"Slc17a7",0.391182052443034,0.361244018043942,0.602636152643597,1.62006240667914
"Mef2a",0.858446745862015,0.817097337341653,0.414631728530507,0.910736196087769
"Prss23",0.706548129465489,0.974443388097451,0.330870270884074,0.404714290146292
"Kctd14",0.193544000958336,0.215938294003593,0.174379743728154,0.270665189203079
"Pgm2l1",0.537312435458833,0.549738029262079,0.31226958632995,0.585326923816079
"Adm",0.169286795786021,0.122601424603239,0.0770971615628947,0.172141412446129
"Calca",0.141236393234877,0,0.0636025578141385,0.138038595425774
"Nupr1",0.357432351598136,0.338715383137067,0.364934541225171,0.381882302580332
"Dock1",0.158018916282593,0.0891437282306454,0.127288811141515,0.375377253976707
"Ctsd",0.902931855536982,0.972701519481366,0.725423448360287,1.3340360026446
"Rgs17",0.592986744352418,0.677580285036401,0.32960707930193,0.603257921831371
"Sgk1",0.26018180273157,0.267080988469993,0.175790397762152,0.334991094999239
"Fam184a",0.80007759936142,0.569013729270394,0.302780319659153,0.677413893875794
"Pkib",0.20503585434262,0.217242808342116,0.388572592781008,0.534243642095526
"Mcu",0.403651745206782,0.279866379061859,0.284703314107134,0.510182750311919
"Adamtsl5",0.0758173973421118,0,0.0777268057338014,0.0714073681952858
"Diras1",0.20695807293729,0.374313552687359,0.343617757729425,0.48419311242949
"Nt5dc3",0.201503937719928,0.218684259348481,0.14111797971778,0.359211749323312
"Nudt4",0.493673533583402,0.527355781742929,0.448396500396633,0.629222675554398
"Lum",0.066836795718361,0.0650139097411263,0.0689551744463224,0.0634785578153725
"Kcnc2",0.403042436385002,0.567742402283717,0.142327833815798,0.283707562840253
"Ppm1h",0.492371735386768,0.674703969211373,0.245568964930074,0.675409424702967
"Nxph4",0.263820420914823,0.0704876179854195,0.146910691231588,0.702467173281542
"Erbb3",0.156968460889965,0.183807155237685,0.166227432306394,0.251020234342101
"Efnb2",0.290671776260437,0.178761517133803,0.202978042478349,0.640451574343388
"Msr1",0.0398378897466395,0,0,0.0583159741779952
"Enpp6",0.063331320119618,0.0414855560509905,0.069727371975444,0
"Npy1r",0.235070915549461,0.230585870566235,0.162164845091736,0.328279545973785
"Rasd2",0.158268176611951,0.158248381870228,0.260670746375712,0.526772893156593
"Scoc",0.982967282370896,1.09938034835029,0.73354344061826,1.06769205687415
"Sntb2",0.108388427922953,0.159725532421845,0.0742568548011586,0.243585566227725
"Irf2bp2",0.485267336245676,0.590721013334799,0.390925248907501,0.587256592819421
"Nrp1",0.263820839992265,0.583014354705179,0.178959610450784,0.924547964297261
"Gng2",0.430133372136298,0.636653171944032,0.306486729455755,0.351743960667314
"Adk",0.516251922482172,0.542963177140335,0.401101410918169,0.780282624057741
"Cdhr1",0.336678665276727,0.311648679801246,0.38077977608756,1.61961995873243
"Slc7a7",0.087848540613419,0.126476054534705,0,0.144467679774336
"Adcy4",0.0577107122708845,0.0587065526237113,0.10741551025678,0.0932785715023619
"Arl11",0.0512168647411321,0.0431277034508131,0,0.113779211795147
"Dpysl2",1.30138892490678,1.21511067603463,0.933610438200707,1.22865756113458
"Zic5",0.315423536445365,0.553075697081679,0.122483471102003,0.154145774439911
"Fat3",0.472879038124196,0.360832600709854,0.130471852165691,1.00111374168378
"Pvrl1",0.368716982228883,0.225011685588521,0.162719529688224,0.768664882935247
"Dnaja4",0.317410430741691,0.329907639970466,0.111009772665088,0.432359968678631
"Cd109",0.0694835775507477,0.0493725652785038,0,0
"Filip1",0.119147976850355,0.127038211495096,0.074502713221494,0.343134608770109
"D430036J16Rik",0.141387546968192,0.0408083236543761,0,0.0450117654830553
"Pcolce2",0.111781070262807,0.0975537052347351,0.177142473307174,0.148244354917057
"Grm2",0.485160717866968,0.650428220063004,0.12829202596376,0.259696753357133
"Cacna2d2",0.34870746024155,0.781213544576631,0.189663066337422,0.333557244992721
"Cx3cr1",0.20864581554495,0.222811531706846,0.226675330107662,0.292270012065387
"Cck",0.543553833488465,0.651245996326103,0.744023833242602,1.60217207757122
"Cobl",0.109449122249483,0.102409754435164,0.0693986509802957,0.214958614119728
"Cnrip1",0.674531415047673,0.73167439431326,0.311433990593726,0.735170234364535
"Spdl1",0.0360561768191647,0,0,0
"Serpinf1",0.213447770631995,0.151485657712798,0.208959972751125,0.260731313559063
"Fam101b",0.210707454628464,0.202666563616848,0.102899842444479,0.194088538738143
"Lhx1",0,0,0,0.156716763126924
"Dynll2",0.94027069669251,1.09614990689857,0.982798755860156,1.1512586348634
