"","GC","PGC","OSNs","M/TC"
"Cpa6",0.871537952738696,0.147250781562518,0.181443039687562,0.346249916646061
"Kcnb2",0.970360449490911,0.336203990208839,0.37171331144075,0.471014618570637
"Trak2",0.456247640691703,0.403674245028921,1.01805557600311,0.408879300346403
"Rpl37a",1.180408332995,0.96668404619105,0.842725185480005,1.47433528386416
"Resp18",0.513000054890041,0.987294556471748,0.27051518576928,0.987200874301715
"Asic4",0.318220427601745,0.604460638133382,0.0930339956635203,0.181967322517261
"Dner",0.827553893657346,0.815329813277621,0.586626483048795,1.44646817584854
"Sag",0.955694675146536,0.760523364889716,0.216512881970593,0.403248521215994
"Tmem163",0.13801639781775,0.0985707878008008,0.155942734123399,1.19447133338322
"R3hdm1",1.301710323741,0.938172602923475,0.511871002907693,1.03611129749215
"B3galt2",0.441840313112936,0.859379535165443,0.234268277942206,0.694831610357173
"Dnm3",0.76835914920447,1.05499745219176,0.414478793394869,0.786726880535412
"Ildr2",0.889882755850692,0.466247057588553,0.353712804229068,0.466621019422719
"Pfdn2",1.17218976113052,1.16310046882853,1.45818870319829,1.18908045577272
"Tstd1",0.227769268989992,0.217956147671417,1.03864390335846,0.296115943902921
"Rgs7",0.478868671659146,0.897668305085451,0.202043566888414,0.486749034149698
"Opn3",0.337599458303694,0.675244431333848,0.15717449514327,0.257922321822611
"Acbd7",0.378419460734245,0.347614826749673,1.3975974224641,0.380535853249439
"Cacnb2",0.404715253125835,0.944810391262693,0.147765809074692,0.366063986737084
"Grin1",1.16612921893693,0.718617203150035,0.391041334285877,1.08777316503492
"Gpsm1",1.09443322284986,0.698561143981262,0.619034997909008,0.657181707090207
"Olfm1",0.79374803740528,0.737232823168695,0.742802312658612,1.44485378602703
"Pbx3",1.01458423695043,0.67089976765855,0.543347615425745,0.528912775902672
"Rnd3",0.433448004857933,0.746111039448464,0.222315289912297,0.361471746918965
"Lrrc55",0.327564146571847,0.175356207495589,0.302641264533501,1.08089302125686
"C1qtnf4",1.34703597159197,1.11782060593251,0.846540368571778,1.41793274016564
"Ano3",1.11789968826167,0.327948253570858,0.357720354975619,0.496192120660373
"Grem1",0.251670482599878,1.02670605927572,0.17430956945467,0.220673927194596
"Slc20a1",0.362960538134889,0.47557538207141,0.29740338568325,1.23649936960309
"Chgb",1.05759579895173,1.02941503113152,0.3948270173329,1.51940138611004
"Insm1",0.316445512005375,0.642782267672913,0.259687030808804,0.201671626476457
"Tshz2",0.425134028139476,0.61787667739639,1.18420061725556,1.05467648255644
"Cbln4",0.117454966524728,0.141591237988894,0.0712933995290295,0.93863119344435
"Rpl39",1.32795703001065,1.07857263671525,0.933723550855161,1.49629373269845
"Gria3",1.07564052655806,0.334295553207828,0.419212642206625,0.478363031336822
"L1cam",0.215749409608634,0.294429665050153,0.117458069280499,0.880800760076177
"Il1rapl1",1.24889761432975,0.848883017117973,0.323185899285389,0.485919026215415
"Tmsb4x",1.27764948525351,0.98913718051213,0.846223769984275,1.43550309297602
