"","GC","PGC","OSNs","M/TC"
"Cpa6",0.873612480645447,0.149625343351573,0.183037910363371,0.347231620243076
"Kcnb2",0.971932918384486,0.341156810563345,0.374487422294317,0.471388354103854
"Resp18",0.513821489975248,0.977282795351743,0.272799603614134,0.992413518654383
"Itm2c",1.3779589243779,1.16129012279488,0.817602213575649,1.3628224670861
"Ptma",1.36142816016271,1.11652442801885,1.42590456067179,1.30600571256513
"Tmem163",0.13822604252899,0.100166524494116,0.157320389895062,1.18879625852362
"R3hdm1",1.27799881422365,0.93127077636263,0.514254958472631,1.03988504181597
"B3galt2",0.442477513606995,0.856184162923056,0.23628965737681,0.699381572045612
"Dnm3",0.77039658009664,1.0376480403536,0.417284489816958,0.792746108082884
"Atp1b1",1.18289424406082,1.10839309811614,1.196149463823,1.48207130053276
"Tstd1",0.228114778883619,0.221417395732925,1.05510324190824,0.297124297648534
"Rgs7",0.479556774548129,0.892166465305998,0.203809342938523,0.487363898545364
"Opn3",0.338106129991318,0.679636137801663,0.158562757169107,0.258878938865428
"Acbd7",0.378981559504393,0.352673467464972,1.36866783785168,0.381415488776979
"Cacnb2",0.405310527720228,0.93771109100895,0.149072813629709,0.366996401138249
"Grin1",1.15280935059617,0.721820820619289,0.393846548580016,1.0897887866136
"Gpsm1",1.09284592054349,0.702360181221745,0.625006937965454,0.660999909645667
"Gad1",1.37775239570051,1.1775213526499,1.14698120763065,1.10700581397724
"Lrrc55",0.328056653889459,0.178171663070435,0.305128124008599,1.08327052551238
"C1qtnf4",1.38322085306481,1.0918133133293,0.86096598231424,1.3751062452632
"Ano3",1.11229255686003,0.332819122476953,0.360456702529633,0.496958078992679
"Grem1",0.252051853324275,1.01260693008881,0.175844222656713,0.221538307865678
"Meis2",1.37194105758417,1.16905087032917,0.986284433859023,1.05203530063643
"Slc20a1",0.36350212137296,0.48142588375357,0.299859626390083,1.22617136319199
"Tshz2",0.425753191767451,0.623297394710757,1.19128077917674,1.05795746769476
"Cbln4",0.117633388720528,0.143876047369698,0.0719272672655838,0.944715347478607
"Ndufa1",1.23242635055365,1.16185751485849,1.42360113581231,1.24536666598837
"Gria3",1.07546959254268,0.339229819356088,0.422012955559416,0.478847688938209
"L1cam",0.216076806878038,0.298926715054727,0.118500289027324,0.887328462348114
"Rpl10",1.29174872710645,1.17504138599821,1.41753293942352,1.26817840254455
