"","GC","PGC","OSNs","M/TC"
"Cpa6",0.86971750458751,0.149315217223107,0.181778936624833,0.34825724075281
"Kcnb2",0.968567704537483,0.340877447571404,0.372117938703774,0.473763380919246
"2010300C02Rik",0.715664788476627,0.359599995428159,0.342091286196841,0.406384523060739
"Resp18",0.507313613680413,0.98450111023153,0.270965165729205,0.994791296864094
"Asic4",0.314388612516366,0.608621906167017,0.0932105968143582,0.183025049689046
"Sag",0.953967562011206,0.75870101400238,0.216902882439925,0.405577400600863
"Tmem163",0.136358477038643,0.0999529586958304,0.156234942741272,1.20193159198781
"R3hdm1",1.27643112087837,0.932635453971972,0.511550575494358,1.0436806247161
"B3galt2",0.436465971206547,0.851765231797396,0.234681832140089,0.700208182455184
"Dnm3",0.765593969673427,1.05388873196162,0.414754741640867,0.793364232975161
"Ildr2",0.888023710518704,0.472031590288758,0.354147896264653,0.46932850248613
"Tstd1",0.225032051949501,0.221008830911275,1.04615938176453,0.297835394999983
"Rgs7",0.473095095824775,0.889536984075453,0.202412291235198,0.489649195797671
"Opn3",0.333530871428561,0.67735701867107,0.157468874339957,0.259420903981858
"Acbd7",0.373847407566384,0.352439946478704,1.39553030413341,0.382737628264644
"Cacnb2",0.399814205822371,0.940098366198424,0.148043482226967,0.368184006971569
"Grin1",1.15836351493652,0.718939349308736,0.39139852492424,1.09595845557588
"Gpsm1",1.09391510158706,0.699766126813008,0.621274005260623,0.662057168282207
"Pbx3",1.01296164024006,0.67316782568759,0.543696433804883,0.532246362388485
"Rnd3",0.428181721220568,0.745068724033232,0.222713325016982,0.363565719970552
"Kcnh7",0.873990625748777,0.589809746076493,0.269816899956442,0.53515893004973
"Lrrc55",0.323618317267703,0.177814088116071,0.303105466363448,1.08906367337874
"C1qtnf4",1.42177588712382,1.13246334412636,0.854799921486938,1.46548558633503
"Ano3",1.11561475275306,0.332511236018623,0.358149715151781,0.499185847732235
"Grem1",0.248645136583865,1.02494210902659,0.174633536065554,0.221956469293516
"Slc20a1",0.35858004075806,0.481328476563057,0.297866695271383,1.24418670160943
"Insm1",0.312635326535954,0.64595843299416,0.260128057452412,0.2028438255313
"Ptprt",0.342973273535511,0.469419612823284,0.35797778837609,1.02687252679984
"Tshz2",0.419974141110858,0.62172424356833,1.17876940067917,1.06258247476667
"Cbln4",0.116044068054581,0.143576390777759,0.0714289062213387,0.946865418602616
"Syp",1.12015370399652,0.907909340914644,0.538167183406841,1.4894763543132
"Gria3",1.07460503089445,0.338943525871679,0.419468660982071,0.481181804207629
"Slitrk4",0.853783242300419,0.632942070760405,0.301593408080165,0.419016610935536
"L1cam",0.213156922331047,0.29853875549495,0.117680376209116,0.888897550679252
"Reps2",0.370123736235826,0.598519250523252,0.189937661905304,0.256276917468988
"Tmsb4x",1.31284102054768,1.07881613731273,0.853218967638562,1.38984092607377
"Crh",0.151644886430366,0.226779578842856,0.150607615903759,0.845327504744924
"Gm11549",0.318532262390526,0.710639544008051,0.103586561302141,0.0949048791838248
"Lhfp",0.337092077766385,0.325490304862998,0.380471746069173,1.19999528909897
"Stoml3",0.298527968476354,0.283737031206346,1.19167344301484,0.294366981048891
"Fstl5",0.55506522251689,0.74123587690968,0.353286697732625,1.40061839819101
"Gucy1a3",0.633928829443594,1.02210607374227,0.318643944681895,0.400868458978226
"Npr1",0.0933459920143002,0.111276342717253,0.126021824586369,0.885806782482454
"S100a5",1.27887896673559,1.2453678411851,1.52691425079585,1.48316016755638
"Riiad1",0.285483421862477,0.336531037031529,1.03833837310319,0.283103519538931
"Igsf3",0.885976659264203,0.481633858912707,0.234817770675068,0.616919001608304
"Atp1a1",1.27686898069197,0.725687141761332,0.65610160605871,1.2161039640965
"Syt6",0.917128340216372,0.41457330770437,0.308349828693862,0.337465123953207
"Ampd2",0.886062073976983,0.629652476291153,0.383618997853579,0.553647494254538
"Ntng1",0.884730608414199,0.269969474897959,0.293943487936542,1.4212143501763
"Pde5a",0.372860078758262,0.705443120627027,0.2429302050682,0.170082038455748
"Egf",0.317690659925749,0.602432172274692,0.101689539301906,0.195785151174659
"St6galnac3",0.689442852370186,0.375041147706782,0.158842504435163,0.2562537822687
"Lrrc7",0.896618461962018,0.467525947019736,0.228959547685076,0.443326619356887
"Penk",1.03729013456109,0.435004678093188,0.407768325648559,0.400227844728899
"Necab1",0.553900180135779,0.842685194149808,0.330671441796336,0.350642411275393
"Cnr1",0.263406841356927,0.766894973784307,0.181200874650757,0.271981995130249
"1110017D15Rik",0.325211556496985,0.308750670739851,1.16778693262455,0.360108871983656
"Enho",0.640041485951749,1.0437970344807,0.617640572695689,0.803487600344575
"Whrn",0.31447496057595,0.693270136701802,0.222879664880839,0.25376179806852
"Nfib",0.832704821819269,1.14676614253699,0.421552372854598,0.497076652487692
"Dhcr24",0.366897490463551,0.291269841171415,0.334569573023609,0.987974434975928
"Mycbp",0.467079748137794,0.435361964633018,0.936388583901492,0.457641345843158
"Nppa",0.502808287172741,1.27499231455549,0.319969614594106,0.380379436918257
"Ptchd2",0.143118952618566,0.110988011707771,0.12087286139975,0.713522565656536
"Fam213b",0.61919494170924,0.671559256551403,1.41002181974975,0.683910901407424
"Sema3c",0.994985238028459,0.338013319857494,0.354769622143539,0.3935341833873
"Jakmip1",0.564591030912595,0.507140585149645,1.15400524219387,0.518049022787547
"Shisa3",0.138902587736607,0.123269548309086,0.164844189712432,0.970779913435779
