"","GC","PGC","OSNs","M/TC"
"Cpa6",0.870502686567851,0.149265529537224,0.183122536045944,0.349237981540136
"Kcnb2",0.969377084941179,0.340497306895859,0.374477618413926,0.474581913605576
"Resp18",0.511274105759738,0.977040872753729,0.272885214586704,0.992929041353365
"Itm2c",1.37518910047035,1.16481849085015,0.816501973673006,1.38064673571437
"Ptma",1.35927694359586,1.11901562540652,1.42422637540976,1.31444810399636
"Tmem163",0.137522224563021,0.0999230997093861,0.157396707745445,1.19227476517412
"R3hdm1",1.27807735293113,0.929463049405832,0.513955567305625,1.04051014844971
"B3galt2",0.440240156468249,0.854702544009817,0.236381530679616,0.702381611848825
"Dnm3",0.767135896603753,1.04094138431639,0.417185935507506,0.795349047146498
"Atp1b1",1.14765123457759,1.10790134504813,1.19479543966158,1.48207130053276
"Ildr2",0.888862459173084,0.471296302084552,0.356453935089246,0.470115564233938
"Tstd1",0.226953517733577,0.220904996561179,1.05267629005581,0.298765639174722
"Rgs7",0.477144794121578,0.89067353573851,0.203898659525621,0.490581863872207
"Opn3",0.336387589786001,0.678151264182708,0.158639529339165,0.26027200386477
"Acbd7",0.377057960414753,0.352011700499062,1.37105401438097,0.383704170240566
"Cacnb2",0.403255954677072,0.936104296028309,0.149145997964983,0.3691622546241
"Grin1",1.15263557318873,0.720263538103042,0.393800915987508,1.09082815900548
"Gpsm1",1.09118791049997,0.700830740934022,0.624555696644826,0.664110606483678
"Pbx3",1.01336370849783,0.67391513628181,0.546359993812765,0.53349023900389
"Lrrc55",0.326388769513281,0.177747990829776,0.305197700959493,1.08422735640896
"C1qtnf4",1.38820491563827,1.09788398977134,0.859645481348651,1.39708210861786
"Ano3",1.11120334192745,0.332162900581888,0.360468784336955,0.50018783262372
"Grem1",0.250768938831554,1.01424662501854,0.175926773721765,0.222707662652531
"Meis2",1.38566301796886,1.1747029277927,0.984244664974806,1.05276522117286
"Slc20a1",0.361655966746989,0.480638731476855,0.299932592599516,1.23089993891591
"Slc32a1",1.20825612626698,1.09178876876703,0.529735304438976,0.556858750577378
"Ptprt",0.345912404641931,0.468671885992444,0.360296310183424,1.02433427876053
"Tshz2",0.423597731485411,0.621969435074235,1.18977959973515,1.05874427978145
"Cbln4",0.117034418377808,0.143529455329601,0.0719645981935072,0.946029082026065
"Syp",1.1155358559174,0.907133966625214,0.540786182200674,1.47844076665248
"Ndufa1",1.23231726848842,1.16520325824765,1.42345678714945,1.25070366549115
"Gria3",1.07336069951369,0.338570954917346,0.421902366391002,0.482053388674149
"L1cam",0.214976764255497,0.298296524072339,0.118560380731081,0.88928691071024
"Ogt",1.27869293911884,1.16417348769624,0.432342314439553,0.924492124135112
"Tmsb4x",1.30081119454559,1.11357479656855,0.853218967638562,1.37169941985242
"Crh",0.152939135603485,0.226669084877721,0.151728720247248,0.846717186815517
"Gm11549",0.321258542750707,0.711848033687498,0.104362135115631,0.0952380999835925
"Lhfp",0.339979849437922,0.325166823964744,0.382851909878792,1.19052055978727
"Stoml3",0.301081033453204,0.283530914578637,1.20088459284135,0.295291300013602
"Fstl5",0.558801117442281,0.742894979055944,0.355589854031256,1.34490156144603
"Gria2",1.32479990745867,1.17426626693925,0.83438305282253,1.39787519269325
"Gucy1a3",0.63705691597173,1.01160752928404,0.32080986363187,0.401807240703906
"Npr1",0.0941426204548839,0.111242552141821,0.126963340895874,0.886280145466439
"S100a13",0.491146148210525,0.461689749301559,0.832969160744255,0.624380750513436
"S100a5",1.28490485335418,1.14333574236435,1.52691425079586,1.41224351911403
"Riiad1",0.287923917640796,0.336167723946595,1.04473886703341,0.284006802444074
"Atp1a1",1.27936269904169,0.727109120289783,0.659650025458192,1.20542195903543
"Syt6",0.917945562069497,0.413789525541177,0.310467691672942,0.33844136375883
"Ntng1",0.885581958559286,0.269792261633103,0.295989196090939,1.36203194068814
"Pde5a",0.376061898691797,0.706581769910936,0.244682038394741,0.170671802359687
"Negr1",1.17918898192192,1.02351289440648,0.408305881137077,0.804045163131171
"Lrrc7",0.897410409965003,0.46676930097106,0.230622456032861,0.444132990258719
"Penk",1.03738007047852,0.434108196585219,0.410193702290898,0.401167874664043
"Necab1",0.557642905537694,0.845591615485843,0.332889491421317,0.351623616208503
