"","GC","PGC","OSNs","M/TC"
"Cpa6",0.937835185200974,0.163985506586009,0.217763488415207,0.375376709528822
"Kcnb2",1.04660439381102,0.370747918253505,0.443975706315849,0.511942222386695
"Trak2",0.494115762660078,0.444204394058518,1.21468715040434,0.44575677990584
"Resp18",0.551900169296206,1.05362939010747,0.323581984029983,1.05942047412127
"Dner",0.891848221114173,0.881339399912753,0.705322689353979,1.57517692726695
"Itm2c",1.4684614615977,1.26294824185319,0.959370976904805,1.4975646115862
"Tmem163",0.149525538113512,0.109677472212095,0.187959813167113,1.2748947928891
"R3hdm1",1.40879077451202,1.00522004859537,0.606845423290336,1.11238046000142
"B3galt2",0.476828612770153,0.924082431017068,0.277278295490638,0.750058702812411
"Dnm3",0.825611520082165,1.11961037638418,0.498295658437403,0.850618363923861
"Atp1b1",1.24124440903271,1.36615307613123,1.39693800030215,1.53200444103173
"Pbx1",1.41343327478859,1.04413108600377,1.04905559876033,1.07075279050759
"Tstd1",0.248138265072883,0.240721389383481,1.23786603841357,0.324250039157851
"Rgs7",0.516488118342935,0.961940701924372,0.23964809412165,0.526864906326769
"Opn3",0.364967055660911,0.735790252820872,0.1874077966531,0.278749197776715
"Acbd7",0.410965640527098,0.384545730586012,1.62070544976553,0.419311488956752
"Celf2",1.45181868807919,1.22377944669174,1.03438524166591,1.30347014047732
"Cacnb2",0.43698171734502,1.01096378617809,0.176915552862685,0.396027733393361
"Gpsm1",1.18058890626886,0.760216003305584,0.738503251026746,0.715166608943155
"Olfm1",0.854299682926623,0.799903083205099,0.891924129585457,1.63899909472361
"Gad1",1.46768487540855,1.26784770775395,1.34070235397377,1.19247132583856
"Lrrc55",0.356088186185036,0.194223025133448,0.363900171511377,1.16096168188849
"C1qtnf4",1.4806469731608,1.18544270711261,1.00520084657093,1.52993269723354
"Ano3",1.21088231657197,0.362363428852292,0.430078530985438,0.540030849763397
"Grem1",0.272416799754939,1.09173353445013,0.21080039747249,0.239889721879445
"Meis2",1.48030472229399,1.25875197950494,1.14114028173409,1.13244041582007
"Slc20a1",0.3942968747505,0.522808724522627,0.359212725680245,1.3188541152858
"Chgb",1.14512106171287,1.09614266926037,0.472139721764021,1.68008086780812
