"","GC","PGC","OSNs","M/TC"
"Cpa6",0.306759633438255,0.306759633438255,0.306759633438255,0.306759633438255
"Kcnb2",0.410209432187229,0.410209432187229,0.410209432187229,0.410209432187229
"Cox5b",1.83605536206485,1.83605536206485,1.83605536206485,1.83605536206485
"Resp18",0.243359353715072,0.243359353715072,0.243359353715072,0.243359353715072
"Serpine2",0.72907564791468,0.72907564791468,0.72907564791468,0.72907564791468
"Dner",0.489421623138159,0.489421623138159,0.489421623138159,0.489421623138159
"Itm2c",1.64797211352301,1.64797211352301,1.64797211352301,1.64797211352301
"Tmem163",0.0875434382094318,0.0875434382094318,0.0875434382094318,0.0875434382094318
"R3hdm1",1.01463234617884,1.01463234617884,1.01463234617884,1.01463234617884
"B3galt2",0.164257079378961,0.164257079378961,0.164257079378961,0.164257079378961
"Dnm3",0.377204902221989,0.377204902221989,0.377204902221989,0.377204902221989
"Atp1b1",3.09767171071052,3.09767171071052,3.09767171071052,3.09767171071052
"Pbx1",1.06626481222944,1.06626481222944,1.06626481222944,1.06626481222944
"Pfdn2",1.07985200351657,1.07985200351657,1.07985200351657,1.07985200351657
"Tstd1",0.0938315374754624,0.0938315374754624,0.0938315374754624,0.0938315374754624
"Rgs7",0.171631640188135,0.171631640188135,0.171631640188135,0.171631640188135
"Opn3",0.0857574479016401,0.0857574479016401,0.0857574479016401,0.0857574479016401
"Acbd7",0.218918778139974,0.218918778139974,0.218918778139974,0.218918778139974
"Celf2",1.38723143652903,1.38723143652903,1.38723143652903,1.38723143652903
"Cacnb2",0.151813340532206,0.151813340532206,0.151813340532206,0.151813340532206
"Gpsm1",0.598207047349565,0.598207047349565,0.598207047349565,0.598207047349565
"Olfm1",0.564325801548631,0.564325801548631,0.564325801548631,0.564325801548631
"Gad1",1.67976792649624,1.67976792649624,1.67976792649624,1.67976792649624
"Lrrc55",0.108217085137204,0.108217085137204,0.108217085137204,0.108217085137204
"C1qtnf4",1.70929500730399,1.70929500730399,1.70929500730399,1.70929500730399
"Ano3",0.572266348014889,0.572266348014889,0.572266348014889,0.572266348014889
"Grem1",0.132194754747877,0.132194754747877,0.132194754747877,0.132194754747877
"Meis2",1.91745835331658,1.91745835331658,1.91745835331658,1.91745835331658
"Slc20a1",0.158492646086236,0.158492646086236,0.158492646086236,0.158492646086236
"Chgb",0.80301528902868,0.80301528902868,0.80301528902868,0.80301528902868
"Snhg11",2.15676390448764,2.15676390448764,2.15676390448764,2.15676390448764
"Tshz2",0.249474474207216,0.249474474207216,0.249474474207216,0.249474474207216
"Cbln4",0.0515931971327175,0.0515931971327175,0.0515931971327175,0.0515931971327175
"Gria3",0.526162628710633,0.526162628710633,0.526162628710633,0.526162628710633
"L1cam",0.0635776954636986,0.0635776954636986,0.0635776954636986,0.0635776954636986
"Il1rapl1",0.811812035267421,0.811812035267421,0.811812035267421,0.811812035267421
"Tmsb4x",3.00135458870653,3.00135458870653,3.00135458870653,3.00135458870653
"Crh",0.0482686746191939,0.0482686746191939,0.0482686746191939,0.0482686746191939
"Gm11549",0.0827665100015804,0.0827665100015804,0.0827665100015804,0.0827665100015804
"Lhfp",0.137919638908839,0.137919638908839,0.137919638908839,0.137919638908839
"Stoml3",0.136962013714046,0.136962013714046,0.136962013714046,0.136962013714046
"Dclk1",1.09565535575078,1.09565535575078,1.09565535575078,1.09565535575078
"Fstl5",0.285315586956836,0.285315586956836,0.285315586956836,0.285315586956836
"Gria2",2.23329549565713,2.23329549565713,2.23329549565713,2.23329549565713
"Gucy1a3",0.267226210708654,0.267226210708654,0.267226210708654,0.267226210708654
"Npr1",0.0434713806000384,0.0434713806000384,0.0434713806000384,0.0434713806000384
"S100a5",1.71108939349484,1.71108939349484,1.71108939349484,1.71108939349484
"Riiad1",0.10889287786323,0.10889287786323,0.10889287786323,0.10889287786323
"Atp1a1",1.02357750801994,1.02357750801994,1.02357750801994,1.02357750801994
"Syt6",0.360784559229997,0.360784559229997,0.360784559229997,0.360784559229997
"Kcna2",0.14969088909971,0.14969088909971,0.14969088909971,0.14969088909971
"Pde5a",0.0997019008049994,0.0997019008049994,0.0997019008049994,0.0997019008049994
"Penk",0.483809139496941,0.483809139496941,0.483809139496941,0.483809139496941
"Cnr1",0.083942231087853,0.083942231087853,0.083942231087853,0.083942231087853
"1110017D15Rik",0.144484945154225,0.144484945154225,0.144484945154225,0.144484945154225
"Enho",0.317024895351783,0.317024895351783,0.317024895351783,0.317024895351783
"Whrn",0.0848701935614904,0.0848701935614904,0.0848701935614904,0.0848701935614904
"Atp6v1g1",0.841985268988854,0.841985268988854,0.841985268988854,0.841985268988854
"Ptprd",0.272506820356323,0.272506820356323,0.272506820356323,0.272506820356323
"Nfib",0.429505157255905,0.429505157255905,0.429505157255905,0.429505157255905
"Marcksl1",0.693061129875036,0.693061129875036,0.693061129875036,0.693061129875036
"Sdc3",0.110003365867456,0.110003365867456,0.110003365867456,0.110003365867456
"Nppa",0.27447477496582,0.27447477496582,0.27447477496582,0.27447477496582
"Fam213b",0.362049399280781,0.362049399280781,0.362049399280781,0.362049399280781
"Sema3c",0.430539703749005,0.430539703749005,0.430539703749005,0.430539703749005
"Reln",0.258365930827757,0.258365930827757,0.258365930827757,0.258365930827757
"Tomm7",1.13833171070593,1.13833171070593,1.13833171070593,1.13833171070593
"Jakmip1",0.240793820843503,0.240793820843503,0.240793820843503,0.240793820843503
"Pcdh7",0.623161676921103,0.623161676921103,0.623161676921103,0.623161676921103
"Shisa3",0.0570157008122686,0.0570157008122686,0.0570157008122686,0.0570157008122686
"Epha5",1.31418388060818,1.31418388060818,1.31418388060818,1.31418388060818
"Spp1",0.146849373695767,0.146849373695767,0.146849373695767,0.146849373695767
"Atp5k",1.9124041567948,1.9124041567948,1.9124041567948,1.9124041567948
"Ttc28",0.152497363283517,0.152497363283517,0.152497363283517,0.152497363283517
"Cox6a1",1.93862119934683,1.93862119934683,1.93862119934683,1.93862119934683
"Auts2",0.913401439820697,0.913401439820697,0.913401439820697,0.913401439820697
"Nptx2",0.124975237186565,0.124975237186565,0.124975237186565,0.124975237186565
"Atp5j2",1.81301665229359,1.81301665229359,1.81301665229359,1.81301665229359
"Nxph1",0.420943175960177,0.420943175960177,0.420943175960177,0.420943175960177
"Thsd7a",0.153503564997095,0.153503564997095,0.153503564997095,0.153503564997095
"Cttnbp2",0.629135933676133,0.629135933676133,0.629135933676133,0.629135933676133
"Tmem176b",0.200139985119923,0.200139985119923,0.200139985119923,0.200139985119923
"Pde1c",0.177532336724369,0.177532336724369,0.177532336724369,0.177532336724369
"Nap1l5",0.903786505476937,0.903786505476937,0.903786505476937,0.903786505476937
"Ndnf",0.18131477818192,0.18131477818192,0.18131477818192,0.18131477818192
"Lrrtm1",0.0395429098274984,0.0395429098274984,0.0395429098274984,0.0395429098274984
"Mgll",0.27736668904018,0.27736668904018,0.27736668904018,0.27736668904018
"Trh",0.222590303397126,0.222590303397126,0.222590303397126,0.222590303397126
"Magi1",0.341677597035684,0.341677597035684,0.341677597035684,0.341677597035684
"Tspan9",0.0868460916503635,0.0868460916503635,0.0868460916503635,0.0868460916503635
"Cdkn1b",0.278825036591039,0.278825036591039,0.278825036591039,0.278825036591039
"Apold1",0.231814517951541,0.231814517951541,0.231814517951541,0.231814517951541
"Grin2b",1.51084962845572,1.51084962845572,1.51084962845572,1.51084962845572
"Ptpro",0.598648739511626,0.598648739511626,0.598648739511626,0.598648739511626
"Ndufa3",1.66603660247231,1.66603660247231,1.66603660247231,1.66603660247231
"Atp1a3",1.78006120391271,1.78006120391271,1.78006120391271,1.78006120391271
"Aplp1",1.23448735175044,1.23448735175044,1.23448735175044,1.23448735175044
