"","GC","PGC","OSNs","M/TC"
"Xkr4",0.00463711501579435,0.00935422048008686,0,0.0563682308580746
"Gm1992",0.000228732482259052,0,0,0
"Sox17",0.00756022459238736,0.016361999894977,0.00921666403028798,0.0106427867778902
"Mrpl15",0.136060244253021,0.189978945660802,0.0355656783486731,0.0945885770427543
"Lypla1",0.102668473003056,0.223054500857685,0.045417410666414,0.187534175226044
"Tcea1",0.247319214782228,0.345669187369112,0.0955663645395204,0.181713425911548
"Rgs20",0.0307395602623756,0.0561155448926529,0.0162061837807321,0.0299916717314797
"Gm16041",0.000664610789903786,0.000625538923300892,0,0
"Atp6v1h",0.240571613175007,0.266658545602475,0.0837837630947166,0.218040115461162
"Oprk1",0.0126180729644089,0.15260604396112,0,0.00402766358733309
"Rb1cc1",0.296209378618621,0.351190668992464,0.0424653322133153,0.179706637770533
"4732440D04Rik",0.04044039664442,0.0421422426204772,0.00321145524247634,0.0231751592095299
"Fam150a",0,0,0,0.0154609967601687
"St18",0.00145166818227829,0.0050791442244034,0,0.00139589736629719
"Pcmtd1",0.386756219476335,0.41463762761939,0.103161956653565,0.304858420619639
"Gm26901",0.0191439760472556,0.0354046036421867,0,0.00203265266932015
"Sntg1",0.0643610837669536,0.115100131785897,0.00269140909730411,0.0347910242479285
"Rrs1",0.0841433835718647,0.149124664054711,0.0373287895116366,0.0763185201365308
"Adhfe1",0.0134121744696512,0.0219636526405363,0.00723915838935921,0.0199282692579245
"3110035E14Rik",0.00675216027958018,0.00707203558086784,0.0176949208899631,0.013490766714432
"Mybl1",0.0102076277095413,0.00938950403052846,0.00200662976652018,0.00988177112373632
"Vcpip1",0.122367868208027,0.175979889413247,0.0359115004047027,0.127958412758906
"1700034P13Rik",0.000954051466386064,0.00304046763115855,0.00206497376429508,0
"Sgk3",0.023011693495392,0.0312684090914627,0.00998077443202066,0.0361057906373692
"Mcmdc2",0.0531707915676524,0.0408882509261069,0.00488131979084482,0.0210510957922203
"Snhg6",0.334610924234503,0.313344926774358,0.282815032212147,0.236273652722645
"Tcf24",0.000554346446486273,0.00111906342273269,0,0
"Ppp1r42",0.00155518237042588,0,0.0148445761714926,0
"Cops5",0.188183295671709,0.296000080997892,0.0571176035526264,0.186133098190686
"Cspp1",0.319654311125507,0.309204515650237,0.0382426358049173,0.230549105009145
"Arfgef1",0.261968969870635,0.225767154012669,0.057968201016074,0.253935570657637
"Cpa6",0.420840669804611,0.0133998576836557,0.0164434187676025,0.0620512925591426
"Prex2",0.0358888941137909,0.0299093846572196,0.0460186328596208,0.0445613726115075
"A830018L16Rik",0.182111358341581,0.0239497225440054,0.0187158445326771,0.0272276013594736
"Sulf1",0.0367855775342606,0.00523866820172288,0.00463983242084259,0.00962411157588539
"Slco5a1",0.148055699054677,0.0446458364503325,0.00757681109276026,0.0521138136270777
"Ncoa2",0.168540703516402,0.141527462062214,0.0381431655522033,0.153682680882414
"Tram1",0.113781141880185,0.141506214959026,0.0579160885417008,0.113846599087047
"Lactb2",0.0207196644573253,0.0137039462946588,0.00462182599087485,0.027767390223904
"Eya1",0.0310568631707503,0.0062694158602304,0.00715469915525141,0.00801743118981833
"Gm9947",0.000520476727023172,0,0,0
"Msc",0.00311255776890098,0.0008486671956503,0.00281092248696189,0
"Trpa1",0,0.000771941552448941,0,0
"Kcnb2",0.540746794149916,0.0687930933769592,0.0683744499015535,0.115727253566676
"Terf1",0.138927601950426,0.112404434002601,0.0222874541390354,0.0489820567487295
"Sbspon",0.00178043460062718,0.035689116921718,0,0.00346411779476901
"4930444P10Rik",0.0070297504880449,0.000953107465039421,0.00509300089094607,0
"Rpl7",1.07853678916028,1.32083699082937,1.27198746607312,0.902692959758586
"Rdh10",0.0176364211161361,0.0213652369582755,0,0.0332947608369035
