"","GC","PGC","OSNs","M/TC"
"Gls",0.308988870761161,0.242509638938806,0.0479178139411067,0.470344229301817
"Unc80",0.488013089919355,0.408433426924062,0.14069497420824,0.746364966167983
"Igfbp2",0.150028614079576,0.142106199842447,0.109008166124546,0.574295250558491
"Igfbp5",0.23589481813495,0.235570493599129,0.150015451865018,0.825534221173883
"Resp18",0.133355322344536,0.684460774152474,0.0363096287619478,0.540185870044886
"Serpine2",0.66239629609354,1.37433136157499,0.303998688855253,0.399530309974123
"Pid1",0.357709678465206,0.107018510172743,0.0324689532295112,0.2673090719068
"Dner",0.374818286369477,0.432630094070454,0.176044791384911,1.57122908739072
"Pam",0.309009701546581,0.375037286627546,0.0469622561634088,0.536978113132777
"Tmem163",0.00969853559368127,0.00599280136199663,0.0122503654138029,0.854215071567104
"R3hdm1",1.22214516485681,0.603022061060307,0.128724569077578,0.605045083582237
"Dnm3",0.315185710434451,0.813742182416194,0.0861512463964972,0.333051552662739
"Pcp4l1",0.874134050678221,1.01006410168715,0.838882759620531,0.41666939061522
"Pea15a",0.47218919389732,0.875204949539784,0.367674270819454,0.626466117976858
"Atp1a2",0.445230175954673,0.431155301434547,0.620403252588139,0.647483610961038
"Rgs7",0.116211505775989,0.53859859299952,0.0199146771668251,0.122731929729546
"Acbd7",0.0732704521316744,0.0740546384433956,1.41254943191166,0.0774274650426428
"Gad2",0.569073593249993,0.806340394986721,0.138762639790085,0.171369006489515
"Gpsm1",0.724992351404209,0.307544443038118,0.193926630389341,0.230764245553307
"Olfm1",0.34012736915378,0.344921977309375,0.290779209594696,2.65423326433394
"Dnm1",0.544644553278913,0.507017311973769,0.255514439552826,0.731788157143052
"Stxbp1",0.639632944611781,0.439838644721623,0.25905866580559,0.727628817088883
"Strbp",0.54816738202135,0.598277873170659,0.141424588630363,0.701206254607487
"Cacnb4",0.305186169665092,0.3156120026686,0.101200965967078,0.744745783113457
"Mettl5os",0.00940338221476733,0.00759955489443591,0,0.0140775240898091
"Slc1a2",0.360473214550384,0.510864456159127,0.577878663384416,0.60782876787076
"Grem1",0.0321919769449161,0.757108741183973,0.0154086292002423,0.0253416074343434
"Disp2",0.172367667437872,0.284427144661107,0.0396804125153584,0.695350502756393
"Chgb",0.671623118165237,0.765906092841177,0.0773336909839934,2.31495685808032
"Napb",0.6615164325677,0.553729362529812,0.264097774700401,0.549811817501338
"Map1lc3a",0.898676406944119,1.53030474930057,0.652623631879394,0.870692410135136
"Ptprt",0.0612740040064899,0.131020424441712,0.0660202047946015,0.584935475898607
"Ywhab",0.563861277920681,0.839817797995625,0.263311252328979,0.632187066456277
"Slc12a5",0.626658399618379,0.500461598175686,0.0971349890276392,1.33588580815768
"Tshz2",0.0924240273941811,0.236331727014483,0.866962421862979,0.635537204024272
"Eef1a2",0.40931034859546,0.5425554784871,0.318856539516364,0.468230751773892
"Dnajc5",0.442900068681449,0.640707647288823,0.129581582652129,0.419888163232201
"Syp",0.781259764371579,0.56762364654,0.14626567338711,1.94824140357236
"Stmn2",0.249750767113269,0.43642845957272,0.466870887015963,0.800335267932402
"Crh",0.0119772205345915,0.0304528769025808,0.0109802509376723,0.374739995532254
"Pcdh10",0.676033428042835,0.470128345061226,0.12560914167642,0.473681141578394
"Lhfp",0.0596584105437147,0.0627459114996743,0.07250106119925,0.860165222203602
"Dclk1",1.25598728286717,0.683202697731483,0.327369158489793,0.850084189901151
"Pfn2",0.711155265219524,1.36131456722187,0.376314745488005,0.995622997260632
"Serpini1",1.10613982350743,0.392033403909717,0.163744036895525,1.16077640829651
"Fstl5",0.16068531574954,0.350543733142634,0.0613081706050941,1.25456367635391
"Glrb",0.349223321738041,0.354862706534245,0.0657921081563219,0.776008051964431
"Gucy1a3",0.211878931662565,0.746185027461585,0.0499464418612682,0.0832731906648534
"Syt11",0.806854941306944,0.854311868611851,0.14545385625773,1.32622229436538
"Npr1",0.00456431846553545,0.00731372387751866,0.00783395376938448,0.417045562770645
"S100a5",1.25706241815337,1.17907827775158,5.103629466763,1.52841689295179
"Syt6",0.474587313182374,0.101967692471309,0.0470854877947558,0.0600679460185233
"Kcna2",0.0552687905237614,0.0975370709099451,0.0439655894653685,1.00095138362553
"Ntng1",0.43860465540666,0.0434067874903734,0.0420319145567071,1.30244257130623
"Prss12",0.00388702801126476,0.206584934631425,0.0138899866928634,0.0108768439941887
"Ppp3ca",0.75094107681883,0.425636819043948,0.307361838636344,0.510284471983574
"Rap1gds1",0.321738452642626,0.152667251210326,0.113246529927283,0.245056606169109
"Ttll7",0.227725324266618,0.33192064102435,0.08959828896038,0.487994324468685
"Penk",0.639127609600036,0.112475620977649,0.0830666914149633,0.0826966626261961
"Fut9",0.446080247587653,0.305397223294674,0.0960165409431096,0.817522748635454
"Lingo2",0.0806366956450336,0.149758327831571,0.00473508536104874,0.0290712521063267
"1110017D15Rik",0.0552235437379195,0.0569007119180518,0.851682061823296,0.0678814863472132
"Enho",0.216676358845226,0.794393130384178,0.192449737035183,0.344420775692547
"Ptprd",0.132987812875305,0.303820844280705,0.0368587174046162,1.43069743532894
"Nfib",0.376876671400332,1.00542797494145,0.0883947995858223,0.12781475219194
"Dnajc6",0.162598627792623,0.237051179157454,0.131760552215972,0.431158268141099
"Rab3b",0.072649255561271,0.201594254030787,0.080409306306369,0.63292289518621
"Marcksl1",0.649693417621282,1.31223062493672,0.175775142082351,0.317901330237415
"C1qb",0.152340008008042,0.146969706405721,0.164688648699492,0.234075579707266
"Camk2n1",1.2600606575353,0.944291028005272,0.827249219417033,0.627420644477193
"Nppa",0.131478287317659,1.21468681183523,0.0509878685854623,0.0749241355121976
"Clstn1",0.570340068929624,0.648350499735229,0.14717895785059,1.63917183172478
"Pclo",0.201446192778519,0.209472002609858,0.052853910476245,0.409464581609859
"Sema3c",0.575443460596434,0.0677491731547943,0.0621983815382765,0.0812677374949226
"Reln",0.0504103017170869,0.292973860438897,0.0754729211482569,1.89440763163405
"Srpk2",0.529028192852243,0.826295777748062,0.104670903411015,0.491060744589312
"Rheb",0.594229566163826,0.799141674736335,0.216651014659227,0.540984212600537
"Ywhah",0.843924120826428,0.966457289887767,0.412102536473997,0.893624830959925
"Nat8l",0.537296267848904,0.225626609086698,0.155101161199721,0.952126858275192
"Mrfap1",0.834998447870859,1.2389580644091,0.454517283812504,0.728211080449735
"Rasl11b",0.437280004278801,0.244766364678383,0.122044602269236,0.293475185817481
"Spp1",0.0290283591993725,0.0299467940789581,0.0210298689154795,1.30642652583472
"Ywhag",0.45303981892121,0.686178338839023,0.228969147375524,0.816823966783417
"Dync1i1",0.569912879397915,0.288797757881305,0.173750738190637,0.284688595535639
"Nxph1",0.323289616901153,1.29098856273879,0.0352827904275813,0.0821610992039288
"Thsd7a",0.0547612971309725,0.0406982327906923,0.0337345782071257,1.14806052842732
"Cntnap2",0.218329352526833,0.159602879723748,0.022919243263449,0.708776231722412
"Cbx3",0.729923217276729,1.15976554477605,0.310278566673466,0.463049853867612
"Nap1l5",0.80540831163872,1.89813418592813,0.2173519142202,0.491438878880557
"Ndnf",0.0875269647623022,0.0911841796925366,0.04137742852648,1.11443883391194
"Trh",0.150404995584386,0.78004273120305,0.0326571652419176,0.0609015741444373
"Slc6a1",0.372989709133534,0.793265173185561,0.148484623114937,0.22388450369676
"Syn2",0.550617955724828,0.463890346238133,0.137385048091104,0.243678336428619
"Clstn3",0.275654083421768,0.244190990796283,0.0546628870011097,1.10493708457174
"Tpi1",0.761047234588822,1.34453095989555,0.335422956195424,0.665311691245873
"Pianp",0.448347650206235,0.481195089185558,0.06458737526653,0.999000308701812
"Gabarapl1",0.70916604981692,0.904301091001157,0.299973937545426,0.601149699581312
"Cdkn1b",0.226160078114611,0.727815800708101,0.0479880277930086,0.121181025013635
"Apold1",0.149713970410573,0.865939147707672,0.0144396478180478,0.0337521298400994
"Peg3",0.504393402493497,0.53604932126551,0.0837750332093252,0.391161808010352
"Scn1b",0.246088768140506,0.146798430248283,0.11783968124448,1.02658260001509
"Atf5",0.116391476431735,0.159772195345773,1.12608059016728,0.125509301222568
"Slc17a7",0.0799841679173115,0.0805532935182228,0.17873328886616,2.35040499946933
"Kcnc1",0.290167934107497,0.208299485201733,0.0443297136320618,0.971920944343998
"Mef2a",0.432369266744176,0.45290452929012,0.082866484017508,0.455541824351933
"Akap13",0.0299470141074783,0.0445195822598881,0.0172928863577519,0.217111475619383
"Nmb",0.0501129144844239,0.0499739934225089,0.0696991694503403,1.55824912041548
"Pak1",0.161014243312136,0.241132351637151,0.0912765382383099,0.64745820085655
"Fam168a",0.130808803953704,0.202494905948069,0.0580118282132193,0.204669789087316
"Hbb-bs",0.285338274531114,0.296223252249707,0.256425037367313,0.309284254037262
"Spon1",0.220021458162544,0.805301675001286,0.0235620321264783,0.179878923301238
"Rgs10",0.237391238825084,0.779501883412635,0.0966245418126137,0.145978837660223
"Cend1",0.350320676495752,0.773714323900964,0.118707595360807,0.424560101979749
"Ctsd",0.493105340527014,0.682778451009802,0.264547454204643,1.16768692149799
"Th",0.133992777471648,0.411234142900712,0.0436506945540267,0.0427236332719129
"Vip",0.0170579591932187,0.265119786630832,0.00505759817777639,0.0152718535705282
"Rgs17",0.187455187222245,0.297890552439802,0.0513075514715249,0.192898587439303
"Grm1",0.0993841598423598,0.199839715277549,0.0467152204129908,1.07567983042554
"Cited2",0.435314400723906,0.91964001529513,0.0824835692865569,0.165846185496894
"Rspo3",0.110982188854628,0.0283882663008183,0.0103289454965365,0.538534115832838
"Tspyl4",0.469203294831844,0.802859705126667,0.130950062586133,0.512901025028203
"Spock2",0.430635313507239,0.670527107345965,0.134119823297607,1.25242039671093
"Arid5b",0.00943371031965871,0.0171266521926103,0.00652569642742054,0.0828582585182385
"Zwint",0.666505907442992,1.11492920653947,0.244319565551876,0.874285642285244
"Nt5dc3",0.0207582180594012,0.0287735257612978,0.0102965242038595,0.0675968207641036
"Btg1",0.741290070288537,1.11136376672911,0.160725634673066,0.353957774855456
"Mcf2l",0.303712275009813,0.301779269536171,1.17406706570287,0.24525680931402
"Cpe",1.55447444538073,1.54640816797561,1.03899021155535,3.01196501542561
"Rab3a",1.01340145597188,1.61585329672268,0.32503380296291,0.778164469368763
"Gm2694",0.0173937977381779,0.192413553905593,0.0445023102869229,0.194418680753247
"Mt2",0.59683257684894,0.672376739626837,1.49551242403955,0.583054744790909
"6430548M08Rik",0.351652519447897,0.360785825003735,0.193447191415486,0.520850177517846
"Tubb3",0.724255577263445,0.945381176447246,0.252704080300934,0.769992223800538
"Cdhr1",0.0585792488866275,0.0591333993333092,0.0710434421143358,2.31898257267576
"Ghitm",0.4981849893392,0.659156123578647,0.282610956755922,0.627674197281955
"Cpne6",0.732693230500109,0.20595698836592,0.155403374235956,0.241785076245384
"Ctsb",0.521130130264447,0.673858016672374,0.171073242796467,1.65545073061096
"Clu",0.673079912334326,0.39341352221019,0.300465987687628,1.07552851968463
"Pcdh17",0.684795739132884,0.636682222096213,0.101650157965731,0.328492846797744
"Thy1",0.353103090635333,0.177360113400377,0.0708849011712864,1.27377216410021
"Fxyd6",0.382801604903054,0.392770249048434,0.163345172085604,0.471202599640658
"AI593442",0.0810116820876465,0.850057373581363,0.0287494115153701,0.206327567931425
"Map2k1",0.67517924110209,0.300350244859927,0.233085144126799,0.318637618105023
"Tmem30a",0.551996838044937,0.401367304740868,0.172753232527579,1.22682267083381
"Elovl4",0.231185215132174,0.200223427968734,0.0292449089785994,0.576271850550712
"Tpbg",0.243821964419463,0.0569376526600061,0.0382966329076811,0.0468326018749371
"Zic1",0.478438849774323,0.971613677321097,0.108300434835673,0.126024047085294
"Clstn2",0.109194144466937,0.092608941317223,0.0285756094292107,0.514106038640185
"Cpne4",0.540625255979844,0.146252938865347,0.0969694581552913,0.271964866898147
"Arpp21",0.877186292052197,0.145391253812874,0.133651404840709,0.517451035826032
"Cck",0.157443719918935,0.271521918317332,0.288908755239442,2.10311978311461
"Gabrg2",0.46769241358222,0.560372577551074,0.0632502260534693,1.30420465015004
"Gabra1",0.198778745426064,0.430932932650322,0.0873000063872452,1.86282990807462
"Pafah1b1",0.55049213073717,0.730463863977361,0.179196453384391,0.542928358257173
"Cltc",0.568674452027069,0.761353143019978,0.256182569852012,0.825224518986769
"Dynll2",0.539984752205815,0.997802352603323,0.551524209445619,0.801659957124254
"Msi2",0.442263933908547,1.10592954032004,0.144899429360724,0.464252480733894
"Atp6v0a1",0.382464537449554,0.408284587737875,0.0586542688746707,0.978028595785068
"Mapt",0.429940343566184,0.629548748182313,0.0969033703239105,0.469056140058639
"Limd2",0.416368444314477,0.191180806463452,0.127080824029637,0.189594362805954
"Prkar1a",0.616871913313963,1.02789076202322,0.263802435078232,0.666874036110328
"Grb2",0.5130977944983,0.317771934187235,0.187524736938461,0.240227452785784
"Cyth1",0.301737060365017,0.86966232515628,0.0602983035442951,0.120435839427555
"Timp2",0.38232792695749,0.42616743088428,0.0967111610742425,1.41718190655202
"Gng4",0.620844127026985,0.340159332068458,0.25538500186373,0.237321549155558
"Nrsn1",1.1553840648772,2.91486022989908,0.67714655614023,0.657673703654144
"Sox4",0.676777068628891,1.30983995000595,0.172176974489232,0.405588969077199
"Nrn1",0.0251345661450357,0.0420624893494474,0.0269806994353307,0.525191643550383
"Cltb",0.528514064037386,0.827364701454944,0.251378597332769,0.673538565021172
"Sncb",0.559416188179551,1.59048076456884,0.240432501737952,1.18804077511054
"Cxcl14",0.208368595850939,0.143985071838827,0.107146564020858,0.116949990199244
"Map1b",0.508242692649007,0.592747839870418,0.407699290470826,1.08613411000192
"Rab3c",0.246224642056993,0.663423435440448,0.114144255962876,0.235979343623772
"Vsnl1",0.243540403254112,0.423213135015814,0.0944040409051534,0.246720619900784
"Id2",0.33509923014113,0.387336666821964,0.18481176895996,0.570919205365565
"Tspan13",0.166222478533092,0.28451324506373,0.0580943197799783,1.03758218887808
"Etv1",0.557498588178994,1.07515779810107,0.118241978401299,0.184080536065702
"Stxbp6",0.561113873768159,0.188725371064825,0.207668325711793,0.209866427054793
"Syndig1l",0.0303968257140606,0.334496263331711,0.036335930642137,0.044637471261161
"Chga",0.198154662027827,0.538160861189252,0.0678938080145326,1.39148517335554
"Sp8",0.691955199812152,1.2788717194155,0.177050159914513,0.158812262117993
"Sepp1",0.339583899971059,0.31299573325065,0.423947598009978,0.508958658646192
"Slc1a3",0.360751103507083,1.11458059236825,0.300774735137651,0.347246871935043
"Basp1",0.651083832319767,0.832608260739114,0.21939524620266,0.477836039569806
"Ywhaz",0.635231978261243,0.883878439259508,0.286424609912017,0.554550564762336
"Syngr1",0.421550253783331,0.4684395384414,0.117885059210805,1.1484914893517
"Sept3",0.192876712613684,0.350208419556354,0.158190611889893,0.364775280312177
"Slc38a1",0.417513198661827,0.431025164675906,0.0712942452939947,1.25174101766939
"Faim2",0.632681533125484,0.604508491320862,0.144337953733983,1.70574775805067
"Apod",0.52383968659823,0.516523726801288,0.630493788339768,0.736621173745676
"Gsk3b",0.734115263597303,1.05844056806472,0.156484922497499,0.497496200952728
"Zbtb20",0.572167832045792,0.602555605197599,0.217334127144847,0.602640781074137
"Atp6v1a",0.52206991187771,0.851317103914057,0.208918513437068,0.579466182284431
"Tagln3",0.625396270894883,1.26052172669922,0.231918869848085,0.361476280689514
"Abi3bp",0.201794393994838,0.0153434717708643,0.0143618730060972,0.389573716455099
"Robo2",0.314389502204203,0.537239503560518,0.070340012858616,0.636283347952488
"Pcp4",2.31093414438425,1.2191246584954,1.57558183887869,1.55362349096386
"Gng13",1.17164444697164,1.0602151447569,5.40175496721559,1.48037192596748
"Ly6g6e",0.0174702132683132,0.0215329534203632,0.0204481520487012,0.412380010118355
"Atp6v1g2",0.590815062037474,0.839822899324759,0.17326835487602,0.425169328782984
"Tubb5",0.59950761835446,0.736684341495005,0.324074056664852,0.688242005954454
"Pja2",0.568686468387567,0.686617973056952,0.212803916028529,0.5827041496722
"Dlgap1",1.07664094167452,0.863087224887518,0.372695105317911,0.637649104137122
"Kif5b",0.596017089582738,0.621278874038278,1.89443124193608,0.494362525305316
"Reep5",0.547123668960374,0.509108073102845,0.133339334915668,1.3497255755296
"Slc6a7",0.0368638176290114,0.136133877751088,0.0122026343914024,0.732689311998078
"Atp5a1",0.850184863490569,1.35389518701738,0.472510914529484,0.788887947360319
"Doc2g",0.373267980616013,0.386096314275563,1.32335298893402,1.1214899543798
"Prdx5",0.706534434433436,1.10579630962979,0.579371565565696,0.731617986160907
"Rtn3",0.985358056764332,0.891031310769518,0.255772289693872,1.75859334517191
"Gng3",0.710465906759758,1.31278159504434,0.271123842223448,0.77763244619325
"Syt7",0.132472297624246,0.373079285446562,0.119012347083517,1.22658564389238
"Ms4a15",0.00994533924615544,0.00560281885684471,0.0139207577548677,0.917463170556264
"Prune2",0.853146530463293,0.629984161897894,0.144997522490549,1.07118983559202
"Pgam1",0.749956149335673,1.1448171959984,0.433852955453397,0.730731492897891
"Got1",0.541385909957122,0.934507095019773,0.151336903130235,0.472179208912907
"Kcnip2",0.479483294091014,1.29506793898167,0.0873690241958749,0.147477003288756
"Pdcd4",0.408457849179984,0.538385135448723,0.107724179185097,0.167527810195909
